,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
0,baigurang,253,374967.428021,2381818.59221,3.3423424,2.2036867,0.5394191,0.28088778,31.332775,0.52209944,0.5116598,0.64019334,0.62894374,0.6843923,0.6728395,1.0195394,1.124057,0.28926107,,0.6256965,,262.06158,347.95856,,0.18468732,-0.28088778,0.8203069
1,baigurang,257,375119.519645,2381822.04944,5.9166665,4.175219,0.7108434,0.5281218,47.146656,2.228436,1.9311532,2.4407582,2.1239243,2.5099525,2.186747,1.4776765,1.8694866,0.6717166,65.976074,0.8245483,3719.8853,276.2913,663.7681,65.976074,0.37538525,-0.5281218,1.2389652
2,baigurang,3836,373366.350393,2382041.28532,5.378092,3.2644296,0.6864266,0.48996574,41.24276,1.7427653,1.4558542,1.965702,1.6554703,2.1393354,1.8109405,1.4068674,1.7335625,0.50850666,,0.7962196,2960.451,240.86115,507.1087,,0.3006886,-0.48996574,1.1763923
3,baigurang,3837,373370.279464,2382031.08561,5.121157,3.2534819,0.6732644,0.48001045,39.17103,1.6907963,1.6150753,1.8262668,1.7467337,1.9431231,1.8603015,1.3695256,1.6657217,0.51803845,,0.7809498,2750.5107,240.37523,516.4489,,0.30531085,-0.48001045,1.1532749
4,baigurang,3838,373362.394865,2382023.2407,5.2090397,3.1171663,0.677889,0.46465448,38.924053,1.5073029,1.5469832,1.5209348,1.5608308,1.6679649,1.7101879,1.3825655,1.68916,0.4542914,,0.78631306,,243.68713,486.23355,,0.2737545,-0.46465448,1.1425434
5,baigurang,3840,373349.377339,2382009.22106,5.380863,3.25,0.6865628,0.47152385,40.039032,1.8031915,1.5582525,1.8446809,1.5961165,2.0340426,1.768932,1.4072368,1.734283,0.49223393,,0.79637533,,245.41246,506.8571,,0.29271993,-0.47152385,1.1580867
6,baigurang,3841,373339.245452,2382013.29565,5.828125,3.4599156,0.70709383,0.4871667,41.808323,1.8965142,1.5840622,2.0217865,1.6958212,2.2570806,1.9057337,1.4666097,1.8476843,0.5063482,,0.8201913,2908.4458,244.22617,534.14874,,0.29963723,-0.4871667,1.1942605
7,baigurang,3842,373331.7445,2382005.56451,5.9590645,3.5602837,0.71260506,0.50073636,42.577778,2.026637,1.6814159,2.190899,1.826942,2.4439511,2.0511308,1.482794,1.8798548,0.5368298,,0.8265848,2991.6345,244.78499,556.75006,,0.3143261,-0.50073636,1.2133415
8,baigurang,3844,373310.905875,2382009.30837,6.936575,4.23511,0.7480021,0.5235663,45.830013,2.3122172,1.8538011,2.5,2.0155945,2.6719458,2.1637428,1.5892421,2.1072662,0.61559933,,0.8676455,,249.67093,588.7183,,0.35074455,-0.5235663,1.2715684
9,baigurang,3846,373303.726392,2381964.31986,5.5299807,3.482143,0.6937204,0.48249936,40.307484,1.8402174,1.6182364,1.9445652,1.7144289,2.104348,1.8617234,1.4277701,1.772721,0.5032449,,0.8046775,,239.40063,515.1661,,0.29812264,-0.48249936,1.1762197
10,baigurang,3847,373289.733874,2381948.23051,5.9863634,3.4089553,0.7137281,0.4536424,39.571697,1.8566592,1.5565656,1.9537246,1.6434343,2.0981941,1.7727273,1.4860471,1.8865067,0.48632565,,0.82788146,2558.5378,244.44444,490.71722,,0.28980228,-0.4536424,1.1673704
11,baigurang,3849,373230.817663,2381924.19108,7.1928253,4.0917873,0.755884,0.5334608,45.69192,2.1726458,1.8995901,2.2141256,1.9375,2.439462,2.1434426,1.613544,2.1635752,0.55558723,129.86942,0.876787,,228.22896,539.31506,129.86942,0.32319763,-0.5334608,1.2893448
12,baigurang,3851,373207.796221,2381883.71041,5.546618,3.7260275,0.6944987,0.5019802,41.55982,1.7882736,1.552684,2.0651467,1.8061631,2.213898,1.942346,1.4300336,1.7769694,0.4617689,,0.8055825,,244.58714,517.55896,,0.27753517,-0.5019802,1.196479
13,baigurang,3852,373168.759518,2381844.82585,5.55916,3.517647,0.6950829,0.47381735,40.749886,2.014115,1.6692308,2.131379,1.7730769,2.2062974,1.8394231,1.4317049,1.780167,0.5508043,,0.8062587,,255.25545,568.3499,,0.32094753,-0.47381735,1.1689003
14,baigurang,3853,373145.795579,2381831.73547,4.425532,2.5623376,0.6313726,0.41096663,34.925804,1.3828961,1.3531669,1.4198251,1.3896353,1.5451895,1.5134357,1.25435,1.4706416,0.46654442,41.10058,0.73235387,2444.2673,243.36746,492.3656,41.10058,0.27993858,-0.41096663,1.0423392
15,baigurang,3855,373147.721749,2381855.63269,6.263862,3.5893333,0.7246644,0.5142131,44.665436,1.7595574,1.6098953,2.0181086,1.8544244,2.1126761,1.943863,1.5185782,1.953083,0.5787544,,0.8405753,,250.95435,548.7988,,0.3339815,-0.5142131,1.2388774
16,baigurang,3857,373128.882055,2381863.80198,5.09075,3.55663,0.67163324,0.47584113,39.677555,1.6095334,1.4835907,1.6551725,1.527027,1.8498986,1.7123553,1.3649492,1.6575536,0.4600388,,0.7790588,2855.6755,227.55925,480.91733,,0.27666232,-0.47584113,1.1474744
17,baigurang,3858,373100.975734,2381895.72468,5.730909,3.4570675,0.70286334,0.48925114,42.76506,1.6882865,1.5689176,1.8886738,1.760407,1.9399806,1.8094357,1.4542812,1.8235083,0.5607554,,0.8152862,3086.5588,250.73196,561.22894,,0.32561985,-0.48925114,1.1921145
18,baigurang,3859,373107.907831,2381911.75847,6.3869734,3.9594405,0.7292531,0.51339084,45.28421,2.1189473,1.7639925,2.2368422,1.8684702,2.3189473,1.9412314,1.5323249,1.9820361,0.55574346,,0.8458985,3264.3982,254.58762,587.0943,,0.323271,-0.51339084,1.242644
19,baigurang,3860,373117.882643,2381931.11542,6.487427,4.201717,0.73288554,0.5183341,45.598206,2.0042193,1.6766918,2.2552743,1.900376,2.3776371,2.0093985,1.5432569,2.0054069,0.56418663,,0.85011214,3267.4814,253.11897,579.0895,,0.32722273,-0.5183341,1.2512196
20,baigurang,3861,373215.534417,2381846.67332,5.0846562,3.6263158,0.67130435,0.45753285,39.430202,1.4524794,1.2124883,1.6301653,1.3727865,1.6694214,1.4082013,1.3640219,1.6559129,0.46490782,43.02595,0.7786769,2826.4714,240.58209,444.101,43.02595,0.2791159,-0.45753285,1.1288372
21,baigurang,3862,373213.053943,2381836.15611,5.020478,3.4783146,0.6678004,0.45463535,39.66532,1.4465162,1.2601994,1.6506379,1.448776,1.7693818,1.5584769,1.3542098,1.6385593,0.49808708,46.603443,0.7746134,2889.1873,255.52869,470.18253,46.603443,0.2955975,-0.45463535,1.1224358
22,baigurang,3863,373222.975838,2381841.21627,5.52356,3.7620287,0.6934189,0.47897196,42.39507,1.5211538,1.3515695,1.7557693,1.5704036,1.8346153,1.6439462,1.4269356,1.7710794,0.49732506,,0.80433154,3097.8076,247.73824,505.82785,,0.29522356,-0.47897196,1.1723909
23,baigurang,3864,373221.977034,2381831.1687,5.436077,3.562963,0.6892517,0.4617377,41.783665,1.3231441,1.3272091,1.4043669,1.408574,1.5991267,1.6036745,1.4149573,1.7485919,0.5142075,,0.7994972,,262.2623,506.59332,,0.3034571,-0.4617377,1.1509894
24,baigurang,3865,373207.41963,2381828.75305,4.7250805,3.4963236,0.6506599,0.45567113,38.827557,1.2696123,1.2902639,1.3507664,1.3721565,1.4616772,1.4840764,1.3067361,1.5568432,0.48889437,58.28306,0.7547316,2898.7783,246.67883,484.08643,58.28306,0.29107237,-0.45567113,1.1063311
25,baigurang,3866,373226.509355,2381855.67446,5.1896553,3.8851352,0.67688024,0.478389,40.556366,1.3445122,1.1723164,1.5884147,1.398305,1.6402439,1.4463277,1.3797411,1.6840115,0.35583806,,0.78514606,,238.14407,405.98322,,0.22194375,-0.478389,1.1552693
26,baigurang,3867,373236.956008,2381866.56385,5.457658,3.553218,0.69029015,0.48153582,41.325268,1.2166508,1.2103773,1.4143803,1.4075471,1.577105,1.5698113,1.4179275,1.75416,0.43286872,,0.80070084,,243.19304,438.533,,0.26280436,-0.48153582,1.171826
27,baigurang,3868,373243.07451,2381876.05579,5.255282,3.7012987,0.6802702,0.48544413,40.548897,1.4026369,1.2911025,1.6014199,1.4806577,1.6673428,1.5435203,1.389336,1.701394,0.4694904,,0.7890779,,234.97583,449.06644,,0.28141692,-0.48544413,1.1657144
28,baigurang,3870,373248.432333,2381863.05811,5.877193,3.969657,0.7091837,0.50089604,44.40192,1.5715677,1.3707361,1.8130478,1.5933573,1.9435248,1.7136445,1.4727696,1.8597919,0.531607,,0.8226195,,235.86208,527.5216,,0.3118333,-0.50089604,1.2100798
29,baigurang,3871,373258.684958,2381858.69248,5.8368793,4.438053,0.70746887,0.5087076,43.93148,1.7367896,1.5606344,1.9401795,1.7509328,2.018943,1.8246269,1.4677398,1.8498491,0.55686706,,0.82062984,3219.8623,238.72758,564.33636,,0.32379836,-0.5087076,1.2161765
30,baigurang,3872,373266.986277,2381869.73885,6.2446184,3.9812334,0.723933,0.5076778,44.047024,1.6050583,1.5700576,1.7850194,1.7476008,2.0359921,1.9952016,1.516386,1.9485257,0.49507377,,0.839726,3115.0261,252.13475,528.0,,0.29411766,-0.5076778,1.2316108
31,baigurang,3873,373266.093306,2381883.19956,5.998117,3.8496041,0.71420884,0.5030675,43.537457,1.5416666,1.4330485,1.7529762,1.6353276,1.8194444,1.6989554,1.4875348,1.8893647,0.5299869,93.25469,0.82844657,3165.3442,253.98434,493.11554,93.25469,0.31105807,-0.5030675,1.2172763
