,CLASS_NAME,num,x,y,win19advancedB1,win19advancedB2,win19advancedB3,win19advancedB4,win19advancedB5,win19advancedB6,win19advancedB7,win19advancedB8,win19advancedB9,win19advancedB10,win19higherB1,win19higherB2,win19higherB3,win19higherB4,win19higherB5,win19higherB6,win19higherB7,win19higherB8,win19higherB9,win19higherB10,win19simpleB1,win19simpleB2,win19simpleB3,win19simpleB4,win19simpleB5,win19simpleB6,win19simpleB7,win19simpleB8
0,baigurang,253,374967.428021,2381818.59221,49.473682,45.132965,-2.5072175e-18,98.947365,153.60664,5.1212254,2.3580415,10.028307,-0.5298477,0.9794452,0.9074337,2.275974,17.415585,244.0065,0.00042277513,2500.2402,0.00038997072,2216.3096,0.0007947281,7166.331,0.010750378,7.511809,0.0155476695,0.2976659,26.925207,1456.855,65911.34,3658201.2
1,baigurang,257,375119.519645,2381822.04944,43.75485,22.42605,-9.893345e-19,87.5097,65.490906,4.549542,2.2498546,9.339633,-0.7142155,0.9840016,0.9091797,1.46875,28.15625,252.36874,0.00051011035,2038.7156,0.00046275917,1861.7689,0.0007519743,2960.5688,0.011897545,7.023199,0.020518659,0.30693462,24.213297,854.1031,23196.465,1726556.6
2,baigurang,3836,373366.350393,2382041.28532,46.180054,61.521595,-1.9397054e-18,92.36011,204.84538,5.2383585,2.4317653,15.684962,-0.5342813,0.9804675,0.9254587,1.3669724,18.125381,268.89603,0.0004922485,2228.471,0.0004591066,2039.108,0.0006436186,3237.792,0.007385609,7.7152667,0.010806369,0.25409156,41.240997,2300.724,108904.29,3402601.8
3,baigurang,3837,373370.279464,2382031.08561,48.740997,74.740395,1.1502707e-18,97.481995,255.43527,5.081929,2.4054928,17.406513,-0.5494956,0.9731201,0.86920905,2.2416108,17.597315,212.651,0.000456561,2389.906,0.00040783672,1984.7336,0.0008277892,6939.1978,0.017318774,7.1890206,0.0094837155,0.33232254,43.526318,2636.217,127615.34,2865830.2
4,baigurang,3838,373362.394865,2382023.2407,46.973682,51.989613,-2.1955094e-18,93.947365,166.29916,4.9185286,2.4072418,16.472996,-0.6178078,0.98394847,0.89302886,1.6442307,22.576923,236.42949,0.00047216003,2247.3975,0.00042821706,1950.8007,0.0007082707,4251.8975,0.011882199,7.252149,0.011528264,0.29943037,41.65928,2853.967,105012.83,2423131.2
5,baigurang,3840,373349.377339,2382009.22106,46.896122,32.993366,5.421011e-20,93.792244,96.19229,4.9590225,2.4277635,13.05911,-0.6506217,0.9889201,0.9410554,1.269461,22.203592,285.8982,0.00045592172,2294.5388,0.00042654233,2174.4333,0.0005925338,2834.3772,0.0068446374,7.6200356,0.013874066,0.23012869,35.781162,1040.6635,37825.137,2752139.0
6,baigurang,3841,373339.245452,2382013.29565,44.38781,19.586445,-2.5580395e-18,88.77562,55.969048,4.7290907,2.273273,7.754069,-0.6686433,0.98875606,0.93465906,1.3636364,24.4,278.29697,0.00050138694,2066.394,0.00046833535,1935.0161,0.0006859608,2793.3484,0.007915071,7.4299808,0.021891158,0.23197685,22.376732,334.13727,9540.176,2096517.9
7,baigurang,3842,373331.7445,2382005.56451,44.916897,26.17869,-7.792703e-19,89.83379,74.79786,4.8538556,2.3618562,10.88051,-0.65972215,0.9892512,0.9378765,1.3162651,23.156626,282.09036,0.00049130415,2126.7168,0.0004595688,2003.3232,0.0006559063,2742.8555,0.007197612,7.562058,0.016372174,0.23577364,29.916897,599.23895,19585.756,2352656.8
8,baigurang,3844,373310.905875,2382009.30837,41.96399,9.164908,-2.676624e-19,83.92798,20.388165,4.0090194,2.1784678,5.780657,-0.77065384,0.98790425,0.9441525,1.3843844,34.537537,288.06906,0.00054880057,1857.1051,0.0005180057,1755.0615,0.00076327974,2550.2012,0.013501277,6.6976075,0.012252723,0.28168812,16.271467,99.236595,1850.8075,1229619.2
9,baigurang,3846,373303.726392,2381964.31986,47.78532,69.79463,-5.0313757e-19,95.57064,251.05388,4.731851,2.3212914,10.914406,-0.588396,0.97240853,0.8890345,2.5704699,23.09396,225.80537,0.0004772289,2240.6174,0.00043291168,1919.769,0.00095201615,7969.0166,0.024520224,6.833033,0.011440973,0.33172283,28.124653,3870.0933,150644.5,2066570.1
10,baigurang,3847,373289.733874,2381948.23051,48.92521,64.052574,-1.8295912e-19,97.85042,222.66461,4.8765416,2.4064567,12.839059,-0.5469849,0.975403,0.909431,2.0903225,19.812902,247.46452,0.0004501004,2382.4258,0.0004170912,2100.4414,0.0007697679,6414.0547,0.023204241,7.1458693,0.011523959,0.30607563,33.545708,2656.3237,112594.39,2533860.5
11,baigurang,3849,373230.817663,2381924.19108,44.48061,21.072338,-1.1485767e-18,88.96122,62.402927,4.35918,2.1770566,8.693213,-0.7172393,0.98395866,0.89027333,1.6559485,32.40836,233.98392,0.00049542385,2080.087,0.00043999538,1858.2708,0.0008284829,3390.836,0.014560201,6.647376,0.022811113,0.34395993,21.886427,1148.0525,38881.13,1382580.6
12,baigurang,3851,373207.796221,2381883.71041,47.465374,57.2765,1.0842022e-19,94.93075,191.06723,4.8410444,2.4124687,14.737586,-0.5871741,0.9809107,0.87343115,1.9833887,22.302326,217.53821,0.00046598059,2292.7974,0.0004122671,1954.0419,0.0008689844,5046.216,0.013378504,7.1771665,0.011661628,0.3088532,38.03878,2985.2607,107842.13,2358173.2
13,baigurang,3852,373168.759518,2381844.82585,47.981995,91.8958,-1.722865e-18,95.96399,319.658,4.806484,2.4208088,19.324009,-0.59024435,0.97392356,0.8764448,2.2315435,22.389261,218.28859,0.00050120417,2198.3289,0.0004596663,1776.5614,0.0008473661,6905.473,0.026296606,6.7882094,0.008044345,0.3350129,47.92521,3896.287,185101.9,1968075.6
14,baigurang,3853,373145.795579,2381831.73547,48.155125,74.53549,9.486769e-20,96.31025,247.85942,4.982599,2.4765034,19.765556,-0.60676885,0.9796476,0.8790935,2.2943144,19.414715,219.6622,0.0004727318,2308.592,0.00042838493,1933.0327,0.0009187746,6556.5015,0.016021976,7.1944366,0.008890985,0.3108657,50.282547,3265.126,135329.14,2565745.5
15,baigurang,3855,373147.721749,2381855.63269,42.09141,11.753417,2.1201235e-18,84.18282,28.271284,4.083361,2.190654,6.718173,-0.79823154,0.98817253,0.94921875,1.3035715,34.214287,294.54166,0.00054150826,1887.5447,0.00051349984,1793.9838,0.0007079256,2447.5803,0.012603494,6.7605643,0.01724466,0.25379673,18.742382,310.11658,8495.6455,1283240.1
16,baigurang,3857,373128.882055,2381863.80198,45.048477,27.17909,-2.52077e-18,90.096954,80.57509,4.825516,2.3304794,9.919654,-0.66329926,0.9877567,0.9579646,1.300885,22.911505,304.58112,0.00048082435,2182.5576,0.00046109434,2087.6316,0.00061982736,2882.1062,0.007293529,7.4923487,0.017745228,0.22001536,28.141273,878.50494,28692.076,2407742.0
