,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
0,baigurang,253,374967.428,2381818.592,0.076861627,0.079676308,0.072773978,0.057488117,0.028070293,0.163983762,0.226075292,0.212766171,8.053899,0.19800499,0.77910066,0.512972,0.39276683,2.1065402,0.38270885,2.3442903,0.4248739,0.55460155,0.36389393,0.68742484,0.4248738,0.7076833,-0.512972,1.2920727
1,baigurang,257,375119.5196,2381822.049,0.076861627,0.075985663,0.07206431,0.054468926,0.024878891,0.222080052,0.371464461,0.421386451,14.930909,0.34658557,0.8744579,0.6750411,0.55052197,4.1546245,0.60542184,3.4902713,0.68327606,0.722646,0.61401695,1.4924839,0.68327606,0.798518,-0.6750411,1.549499
2,baigurang,3836,373366.3504,2382041.285,0.075300001,0.079700001,0.071400002,0.054499999,0.0265,0.213100001,0.392699987,0.403499991,14.818868,0.3662,0.8735688,0.69230765,0.56559783,4.4999995,0.6286479,3.4744396,0.697714,0.7334116,0.6387055,1.2726493,0.6977141,0.778798,-0.69230765,1.5658765
3,baigurang,3837,373370.2795,2382031.086,0.079999998,0.0788,0.072800003,0.058699999,0.028899999,0.189700007,0.346599996,0.324299991,11.99308,0.3177,0.8460719,0.65283734,0.5184564,3.7609887,0.56092685,3.0497437,0.6164958,0.6882017,0.56141317,0.90202695,0.61649585,0.73559016,-0.65283734,1.4989092
4,baigurang,3838,373362.3949,2382023.241,0.077699997,0.079700001,0.0814,0.066399999,0.036200002,0.188899994,0.306400001,0.301499993,8.464088,0.2702,0.7886749,0.58019596,0.4616275,2.7641277,0.4848272,2.4262602,0.5214034,0.6236212,0.47491708,0.68463194,0.5214034,0.6783652,-0.58019596,1.3688709
5,baigurang,3840,373349.3773,2382009.221,0.079999998,0.0788,0.075000003,0.064599998,0.032099999,0.172299996,0.251700014,0.278699994,7.841122,0.21960002,0.7737844,0.54086316,0.41221726,2.356,0.4131734,2.3007724,0.44742015,0.5739883,0.39694256,0.6480841,0.4474201,0.6859099,-0.54086316,1.3146476
6,baigurang,3841,373339.2455,2382013.296,0.075300001,0.079700001,0.077100001,0.059799999,0.028100001,0.2183,0.354699999,0.371100008,12.622775,0.3266,0.85318696,0.6428902,0.52787393,3.6005187,0.5741347,3.1490316,0.64234835,0.69796604,0.57664955,1.2582159,0.64234835,0.7719156,-0.6428902,1.4960772
7,baigurang,3842,373331.7445,2382005.565,0.079999998,0.079700001,0.078599997,0.067599997,0.0337,0.229699999,0.342200011,0.399899989,10.154303,0.30850002,0.82069707,0.6264259,0.50317496,3.3536897,0.54195833,2.7409685,0.5863841,0.6677739,0.53838944,1.1299604,0.5863841,0.7441154,-0.6264259,1.447123
8,baigurang,3844,373310.9059,2382009.308,0.078500003,0.074199997,0.072800003,0.054499999,0.0233,0.217600003,0.386799991,0.4023,16.600859,0.3635,0.8863692,0.68320274,0.5676224,4.3131866,0.6298866,3.718618,0.71979624,0.7396247,0.6430497,1.5441195,0.71979624,0.80655867,-0.68320274,1.569572
9,baigurang,3846,373303.7264,2381964.32,0.081600003,0.080600001,0.092100002,0.074699998,0.042599998,0.244000003,0.397000015,0.379500002,9.319249,0.3544,0.80618745,0.62338996,0.5345211,3.310532,0.5909661,2.5897634,0.6278399,0.6856304,0.58746976,0.9795513,0.62783986,0.7027216,-0.62338996,1.4295774
10,baigurang,3847,373289.7339,2381948.231,0.079300001,0.0788,0.075000003,0.055100001,0.035300002,0.193399996,0.3671,0.343499988,10.399433,0.33179998,0.8245526,0.6607103,0.523055,3.8946667,0.57135177,2.783941,0.60481906,0.68436694,0.57001007,0.73645395,0.6048189,0.6912986,-0.6607103,1.4852629
11,baigurang,3849,373230.8177,2381924.191,0.0832,0.082400002,0.0814,0.060400002,0.031300001,0.227400005,0.361999989,0.339899987,11.565495,0.33069998,0.8408339,0.6328371,0.5273175,3.4471745,0.57528245,2.9805748,0.6366323,0.6933164,0.5762658,1.2125578,0.6366323,0.7580208,-0.6328371,1.473671
12,baigurang,3851,373207.7962,2381883.71,0.083999999,0.086099997,0.085699998,0.0616,0.036200002,0.200200006,0.331999987,0.331499994,9.17127,0.29579997,0.8033677,0.5896576,0.4874794,2.8739789,0.5211857,2.562135,0.5675314,0.6496175,0.514787,0.7803376,0.5675314,0.6937394,-0.5896576,1.3930253
13,baigurang,3852,373168.7595,2381844.826,0.0832,0.082400002,0.082800001,0.065200001,0.032099999,0.214599997,0.349599987,0.353100002,10.890965,0.3175,0.8318051,0.61702126,0.5139048,3.2222219,0.5563772,2.8683367,0.6156868,0.6798966,0.5549474,1.0438519,0.6156868,0.7397649,-0.61702126,1.4488263
14,baigurang,3853,373145.7956,2381831.735,0.085600004,0.075999998,0.0836,0.061000001,0.037,0.193399996,0.344399989,0.367500007,9.308107,0.3074,0.80597794,0.60934585,0.49775258,3.119617,0.5362126,2.5876923,0.5767779,0.6586332,0.53101313,0.7027215,0.5767778,0.6788194,-0.60934585,1.4153237
15,baigurang,3855,373147.7217,2381855.633,0.083999999,0.080600001,0.077100001,0.062799998,0.032900002,0.209999993,0.362699986,0.369899988,11.024315,0.32979998,0.8336703,0.64938605,0.5243515,3.70428,0.57191014,2.8908432,0.61860955,0.6885673,0.571751,0.9607657,0.6186096,0.7291066,-0.64938605,1.4830563
16,baigurang,3857,373128.8821,2381863.802,0.086400002,0.084299996,0.080700003,0.062799998,0.036200002,0.195700005,0.319599986,0.342299998,8.828729,0.2834,0.7965149,0.59680235,0.47511294,2.9603467,0.5037399,2.497138,0.54025024,0.6373478,0.4956492,0.7379296,0.54025036,0.6877965,-0.59680235,1.3933172
17,baigurang,3858,373100.9757,2381895.725,0.083999999,0.0788,0.082099997,0.062199999,0.032900002,0.202500001,0.332800001,0.362699986,10.115501,0.2999,0.82007104,0.60424197,0.4959227,3.0535932,0.5310747,2.7341104,0.5841908,0.6617539,0.5266042,0.8956778,0.58419085,0.72047573,-0.60424197,1.4243131
18,baigurang,3859,373107.9078,2381911.758,0.0832,0.081500001,0.0814,0.064000003,0.032099999,0.227400005,0.397799999,0.429800004,12.392524,0.3657,0.850663,0.6602671,0.55775213,3.8869777,0.6198978,3.1130688,0.67933124,0.7191253,0.6245881,1.1766711,0.6793313,0.7526012,-0.6602671,1.5109301
19,baigurang,3860,373117.8826,2381931.115,0.0832,0.083400004,0.086400002,0.065200001,0.037799999,0.197999999,0.366400003,0.359100014,9.693122,0.3286,0.81296384,0.6183745,0.5168558,3.2407408,0.56378335,2.6584196,0.607442,0.6756043,0.5607057,0.7222286,0.60744184,0.6793893,-0.6183745,1.4313383
20,baigurang,3861,373215.5344,2381846.673,0.086400002,0.083400004,0.082800001,0.069300003,0.0337,0.146699995,0.229699999,0.120499998,6.816024,0.196,0.7441154,0.47008,0.3818987,1.7741547,0.37388024,2.0803347,0.414764,0.5369863,0.35491726,0.43626922,0.414764,0.62638575,-0.47008,1.2141954
21,baigurang,3862,373213.0539,2381836.156,0.080799997,0.0779,0.076399997,0.0581,0.031300001,0.188899994,0.340799987,0.333900005,10.888178,0.30949998,0.8317656,0.6337489,0.507377,3.460733,0.54646444,2.8678646,0.59696484,0.6747228,0.5442453,0.81534785,0.5969647,0.7157129,-0.6337489,1.4655144
22,baigurang,3863,373222.9758,2381841.216,0.080799997,0.076899998,0.075000003,0.056899998,0.031300001,0.205500007,0.32980001,0.344700009,10.536741,0.2985,0.8266408,0.6294467,0.49674168,3.3973331,0.53116906,2.80775,0.5779752,0.6644789,0.52719784,0.9723498,0.57797515,0.73564184,-0.6294467,1.4560875
23,baigurang,3864,373221.977,2381831.169,0.080799997,0.075999998,0.080700003,0.062199999,0.031300001,0.1919,0.294800013,0.301499993,9.41853,0.2635,0.8080343,0.5701731,0.46142936,2.6530359,0.48086748,2.6081529,0.53383124,0.62880063,0.47121525,0.8482838,0.5338312,0.7195341,-0.5701731,1.3782074
24,baigurang,3865,373207.4196,2381828.753,0.080799997,0.075999998,0.069300003,0.056899998,0.0241,0.169300005,0.257499993,0.277500004,10.684647,0.23339999,0.8288352,0.5758874,0.43982965,2.7157285,0.4436115,2.8331919,0.50167274,0.6130977,0.4303819,0.8795171,0.5016727,0.7507756,-0.5758874,1.4047226
25,baigurang,3866,373226.5094,2381855.674,0.080799997,0.084299996,0.0836,0.070500001,0.0418,0.189700007,0.288199991,0.269199997,6.894737,0.2464,0.7466667,0.5502958,0.42892733,2.4473684,0.44363782,2.0979521,0.46441203,0.5833143,0.42978787,0.5749091,0.46441203,0.638877,-0.5502958,1.2969625
26,baigurang,3867,373236.956,2381866.564,0.084799998,0.084299996,0.073600002,0.0581,0.036200002,0.084100001,0.135499999,0.053300001,3.7430937,0.0993,0.5783343,0.29603058,0.23964263,0.8410325,0.2030874,1.2595336,0.22476307,0.3472656,0.18244341,0.106402755,0.22476307,0.39817122,-0.29603058,0.87436485
27,baigurang,3868,373243.0745,2381876.056,0.080799997,0.082400002,0.082099997,0.069300003,0.035300002,0.202500001,0.305000007,0.32069999,8.640226,0.2697,0.7925359,0.5758202,0.46232775,2.714982,0.48516968,2.4607222,0.52613896,0.62532866,0.47541687,0.82101405,0.52613896,0.7031118,-0.5758202,1.3683561
28,baigurang,3870,373248.4323,2381863.058,0.077699997,0.0779,0.078599997,0.056299999,0.0265,0.208499998,0.361999989,0.381900012,13.6603775,0.3355,0.8635779,0.6432138,0.53826606,3.605598,0.58834875,3.3065424,0.6683879,0.7095352,0.5935899,1.2275536,0.66838795,0.77446806,-0.6432138,1.5067917
29,baigurang,3871,373258.685,2381858.692,0.073700003,0.076899998,0.072800003,0.053300001,0.0241,0.187399998,0.337900013,0.341100007,14.020747,0.3138,0.8668508,0.6454833,0.5215533,3.6414833,0.56206745,3.3596199,0.6417333,0.69733334,0.56499624,1.0915855,0.6417333,0.77210397,-0.6454833,1.5123341
30,baigurang,3872,373266.9863,2381869.739,0.077699997,0.073299997,0.059999999,0.0438,0.020099999,0.151999995,0.309399992,0.290699989,15.393035,0.2893,0.877997,0.67514884,0.50398856,4.1566668,0.5327259,3.5548615,0.6067972,0.685573,0.53276247,0.85830843,0.6067973,0.7664149,-0.67514884,1.5531459
31,baigurang,3873,373266.0933,2381883.2,0.080799997,0.085199997,0.080700003,0.062199999,0.038600001,0.189700007,0.293300003,0.303900003,7.5984454,0.2547,0.76739985,0.56844914,0.4421049,2.6344485,0.45943543,2.2502546,0.48546332,0.6006343,0.44699827,0.63544595,0.48546332,0.6618485,-0.56844914,1.335849
32,baigurang,3874,373264.5058,2381897.289,0.078500003,0.081500001,0.078599997,0.058699999,0.0305,0.201700002,0.351700008,0.336299986,11.531148,0.3212,0.8403977,0.63467354,0.5195534,3.474555,0.5635483,2.9749544,0.6226655,0.6871856,0.5636152,0.96935046,0.6226655,0.73729545,-0.63467354,1.4750712
33,baigurang,3876,373286.0363,2381908.699,0.078500003,0.074199997,0.072099999,0.057500001,0.028899999,0.186700001,0.314500004,0.315899998,10.882354,0.2856,0.83168316,0.6270046,0.48736918,3.3619976,0.5159481,2.8668778,0.56620914,0.6581168,0.5108387,0.8713529,0.5662091,0.73191094,-0.6270046,1.4586878
34,baigurang,3878,373278.564,2381899.283,0.080799997,0.080600001,0.082800001,0.059799999,0.0297,0.216100007,0.363400012,0.350699991,12.235691,0.3337,0.84889334,0.62886596,0.5322365,3.3888888,0.58148855,3.0883498,0.65295976,0.69985896,0.5840086,1.1622834,0.65295964,0.7583401,-0.62886596,1.4777594
