,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,win19advancedB1,win19advancedB2,win19advancedB3,win19advancedB4,win19advancedB5,win19advancedB6,win19advancedB7,win19advancedB8,win19advancedB9,win19advancedB10,win19higherB1,win19higherB2,win19higherB3,win19higherB4,win19higherB5,win19higherB6,win19higherB7,win19higherB8,win19higherB9,win19higherB10,win19simpleB1,win19simpleB2,win19simpleB3,win19simpleB4,win19simpleB5,win19simpleB6,win19simpleB7,win19simpleB8
0,baigurang,253,374967.428,2381818.592,0.076861627,0.079676308,0.072773978,0.057488117,0.028070293,0.163983762,0.226075292,0.212766171,49.473682,45.132965,-2.51E-18,98.947365,153.60664,5.1212254,2.3580415,10.028307,-0.5298477,0.9794452,0.9074337,2.275974,17.415585,244.0065,0.000422775,2500.2402,0.000389971,2216.3096,0.000794728,7166.331,0.010750378,7.511809,0.01554767,0.2976659,26.925207,1456.855,65911.34,3658201.2
1,baigurang,257,375119.5196,2381822.049,0.076861627,0.075985663,0.07206431,0.054468926,0.024878891,0.222080052,0.371464461,0.421386451,43.75485,22.42605,-9.89E-19,87.5097,65.490906,4.549542,2.2498546,9.339633,-0.7142155,0.9840016,0.9091797,1.46875,28.15625,252.36874,0.00051011,2038.7156,0.000462759,1861.7689,0.000751974,2960.5688,0.011897545,7.023199,0.020518659,0.30693462,24.213297,854.1031,23196.465,1726556.6
2,baigurang,3836,373366.3504,2382041.285,0.075300001,0.079700001,0.071400002,0.054499999,0.0265,0.213100001,0.392699987,0.403499991,46.180054,61.521595,-1.94E-18,92.36011,204.84538,5.2383585,2.4317653,15.684962,-0.5342813,0.9804675,0.9254587,1.3669724,18.125381,268.89603,0.000492249,2228.471,0.000459107,2039.108,0.000643619,3237.792,0.007385609,7.7152667,0.010806369,0.25409156,41.240997,2300.724,108904.29,3402601.8
3,baigurang,3837,373370.2795,2382031.086,0.079999998,0.0788,0.072800003,0.058699999,0.028899999,0.189700007,0.346599996,0.324299991,48.740997,74.740395,1.15E-18,97.481995,255.43527,5.081929,2.4054928,17.406513,-0.5494956,0.9731201,0.86920905,2.2416108,17.597315,212.651,0.000456561,2389.906,0.000407837,1984.7336,0.000827789,6939.1978,0.017318774,7.1890206,0.009483716,0.33232254,43.526318,2636.217,127615.34,2865830.2
4,baigurang,3838,373362.3949,2382023.241,0.077699997,0.079700001,0.0814,0.066399999,0.036200002,0.188899994,0.306400001,0.301499993,46.973682,51.989613,-2.20E-18,93.947365,166.29916,4.9185286,2.4072418,16.472996,-0.6178078,0.98394847,0.89302886,1.6442307,22.576923,236.42949,0.00047216,2247.3975,0.000428217,1950.8007,0.000708271,4251.8975,0.011882199,7.252149,0.011528264,0.29943037,41.65928,2853.967,105012.83,2423131.2
5,baigurang,3840,373349.3773,2382009.221,0.079999998,0.0788,0.075000003,0.064599998,0.032099999,0.172299996,0.251700014,0.278699994,46.896122,32.993366,5.42E-20,93.792244,96.19229,4.9590225,2.4277635,13.05911,-0.6506217,0.9889201,0.9410554,1.269461,22.203592,285.8982,0.000455922,2294.5388,0.000426542,2174.4333,0.000592534,2834.3772,0.006844637,7.6200356,0.013874066,0.23012869,35.781162,1040.6635,37825.137,2752139
6,baigurang,3841,373339.2455,2382013.296,0.075300001,0.079700001,0.077100001,0.059799999,0.028100001,0.2183,0.354699999,0.371100008,44.38781,19.586445,-2.56E-18,88.77562,55.969048,4.7290907,2.273273,7.754069,-0.6686433,0.98875606,0.93465906,1.3636364,24.4,278.29697,0.000501387,2066.394,0.000468335,1935.0161,0.000685961,2793.3484,0.007915071,7.4299808,0.021891158,0.23197685,22.376732,334.13727,9540.176,2096517.9
7,baigurang,3842,373331.7445,2382005.565,0.079999998,0.079700001,0.078599997,0.067599997,0.0337,0.229699999,0.342200011,0.399899989,44.916897,26.17869,-7.79E-19,89.83379,74.79786,4.8538556,2.3618562,10.88051,-0.65972215,0.9892512,0.9378765,1.3162651,23.156626,282.09036,0.000491304,2126.7168,0.000459569,2003.3232,0.000655906,2742.8555,0.007197612,7.562058,0.016372174,0.23577364,29.916897,599.23895,19585.756,2352656.8
8,baigurang,3844,373310.9059,2382009.308,0.078500003,0.074199997,0.072800003,0.054499999,0.0233,0.217600003,0.386799991,0.4023,41.96399,9.164908,-2.68E-19,83.92798,20.388165,4.0090194,2.1784678,5.780657,-0.77065384,0.98790425,0.9441525,1.3843844,34.537537,288.06906,0.000548801,1857.1051,0.000518006,1755.0615,0.00076328,2550.2012,0.013501277,6.6976075,0.012252723,0.28168812,16.271467,99.236595,1850.8075,1229619.2
9,baigurang,3846,373303.7264,2381964.32,0.081600003,0.080600001,0.092100002,0.074699998,0.042599998,0.244000003,0.397000015,0.379500002,47.78532,69.79463,-5.03E-19,95.57064,251.05388,4.731851,2.3212914,10.914406,-0.588396,0.97240853,0.8890345,2.5704699,23.09396,225.80537,0.000477229,2240.6174,0.000432912,1919.769,0.000952016,7969.0166,0.024520224,6.833033,0.011440973,0.33172283,28.124653,3870.0933,150644.5,2066570.1
10,baigurang,3847,373289.7339,2381948.231,0.079300001,0.0788,0.075000003,0.055100001,0.035300002,0.193399996,0.3671,0.343499988,48.92521,64.052574,-1.83E-19,97.85042,222.66461,4.8765416,2.4064567,12.839059,-0.5469849,0.975403,0.909431,2.0903225,19.812902,247.46452,0.0004501,2382.4258,0.000417091,2100.4414,0.000769768,6414.0547,0.023204241,7.1458693,0.011523959,0.30607563,33.545708,2656.3237,112594.39,2533860.5
11,baigurang,3849,373230.8177,2381924.191,0.0832,0.082400002,0.0814,0.060400002,0.031300001,0.227400005,0.361999989,0.339899987,44.48061,21.072338,-1.15E-18,88.96122,62.402927,4.35918,2.1770566,8.693213,-0.7172393,0.98395866,0.89027333,1.6559485,32.40836,233.98392,0.000495424,2080.087,0.000439995,1858.2708,0.000828483,3390.836,0.014560201,6.647376,0.022811113,0.34395993,21.886427,1148.0525,38881.13,1382580.6
12,baigurang,3851,373207.7962,2381883.71,0.083999999,0.086099997,0.085699998,0.0616,0.036200002,0.200200006,0.331999987,0.331499994,47.465374,57.2765,1.08E-19,94.93075,191.06723,4.8410444,2.4124687,14.737586,-0.5871741,0.9809107,0.87343115,1.9833887,22.302326,217.53821,0.000465981,2292.7974,0.000412267,1954.0419,0.000868984,5046.216,0.013378504,7.1771665,0.011661628,0.3088532,38.03878,2985.2607,107842.13,2358173.2
13,baigurang,3852,373168.7595,2381844.826,0.0832,0.082400002,0.082800001,0.065200001,0.032099999,0.214599997,0.349599987,0.353100002,47.981995,91.8958,-1.72E-18,95.96399,319.658,4.806484,2.4208088,19.324009,-0.59024435,0.97392356,0.8764448,2.2315435,22.389261,218.28859,0.000501204,2198.3289,0.000459666,1776.5614,0.000847366,6905.473,0.026296606,6.7882094,0.008044345,0.3350129,47.92521,3896.287,185101.9,1968075.6
14,baigurang,3853,373145.7956,2381831.735,0.085600004,0.075999998,0.0836,0.061000001,0.037,0.193399996,0.344399989,0.367500007,48.155125,74.53549,9.49E-20,96.31025,247.85942,4.982599,2.4765034,19.765556,-0.60676885,0.9796476,0.8790935,2.2943144,19.414715,219.6622,0.000472732,2308.592,0.000428385,1933.0327,0.000918775,6556.5015,0.016021976,7.1944366,0.008890985,0.3108657,50.282547,3265.126,135329.14,2565745.5
15,baigurang,3855,373147.7217,2381855.633,0.083999999,0.080600001,0.077100001,0.062799998,0.032900002,0.209999993,0.362699986,0.369899988,42.09141,11.753417,2.12E-18,84.18282,28.271284,4.083361,2.190654,6.718173,-0.79823154,0.98817253,0.94921875,1.3035715,34.214287,294.54166,0.000541508,1887.5447,0.0005135,1793.9838,0.000707926,2447.5803,0.012603494,6.7605643,0.01724466,0.25379673,18.742382,310.11658,8495.6455,1283240.1
16,baigurang,3857,373128.8821,2381863.802,0.086400002,0.084299996,0.080700003,0.062799998,0.036200002,0.195700005,0.319599986,0.342299998,45.048477,27.17909,-2.52E-18,90.096954,80.57509,4.825516,2.3304794,9.919654,-0.66329926,0.9877567,0.9579646,1.300885,22.911505,304.58112,0.000480824,2182.5576,0.000461094,2087.6316,0.000619827,2882.1062,0.007293529,7.4923487,0.017745228,0.22001536,28.141273,878.50494,28692.076,2407742
17,baigurang,3858,373100.9757,2381895.725,0.083999999,0.0788,0.082099997,0.062199999,0.032900002,0.202500001,0.332800001,0.362699986,41.80194,8.214234,-5.04E-18,83.60388,16.88741,3.9766042,2.1770542,5.6254344,-0.79807824,0.9892325,0.93295455,1.3363637,33.484848,276.76968,0.000549285,1856.5728,0.000511731,1735.2789,0.000735547,2470.7817,0.012645698,6.7227435,0.003400882,0.2739792,15.969529,25.302319,1079.0955,1218874.5
18,baigurang,3859,373107.9078,2381911.758,0.0832,0.081500001,0.0814,0.064000003,0.032099999,0.227400005,0.397799999,0.429800004,40.896122,7.569542,-4.18E-19,81.792244,15.926367,3.9239926,2.1448588,4.8250723,-0.793452,0.98855144,0.9321808,1.3738602,34.80547,275.6383,0.000572377,1778.1155,0.000532656,1661.6985,0.000792361,2416.295,0.013616378,6.65791,0.006870078,0.2593069,14.351801,56.331493,1084.0078,1140563.5
19,baigurang,3860,373117.8826,2381931.115,0.0832,0.083400004,0.086400002,0.065200001,0.037799999,0.197999999,0.366400003,0.359100014,40.657894,9.014543,-1.22E-19,81.31579,20.914127,3.735611,2.1260576,5.379818,-0.81615484,0.9848716,0.91359717,1.5924765,37.30721,255.45142,0.000577488,1768.3354,0.000527149,1618.7756,0.000923802,2787.4797,0.017422365,6.311865,0.017751483,0.28080338,15.144044,278.1274,7556.9277,958614.9
20,baigurang,3861,373215.5344,2381846.673,0.086400002,0.083400004,0.082800001,0.069300003,0.0337,0.146699995,0.229699999,0.120499998,49.32687,60.740803,1.31E-18,98.65374,211.07954,5.1279707,2.3235364,12.639705,-0.5297041,0.97606426,0.8679565,2.2702703,16.797297,211.08109,0.000418778,2585.5845,0.000369113,2188.0786,0.000910099,6342.5,0.012277377,7.2958217,0.012142469,0.3247475,31.883657,1847.6865,86179.71,3188799.5
21,baigurang,3862,373213.0539,2381836.156,0.080799997,0.0779,0.076399997,0.0581,0.031300001,0.188899994,0.340799987,0.333900005,47.79086,51.999195,7.17E-19,95.58172,183.07434,4.9442687,2.230869,9.9198,-0.51199555,0.97282875,0.8867331,2.1986754,19.629139,226.92053,0.000441782,2433.5364,0.000396739,2113.8677,0.000924469,5805.7715,0.012791492,7.101862,0.014622485,0.33510527,24.922438,2478.9697,90285.77,2592292
22,baigurang,3863,373222.9758,2381841.216,0.080799997,0.076899998,0.075000003,0.056899998,0.031300001,0.205500007,0.32980001,0.344700009,46.279778,38.54222,5.59E-19,92.559555,139.7423,4.6535697,2.1331165,5.363395,-0.5762054,0.9753112,0.8819165,2.0098684,23.736841,224.05263,0.000456373,2330.5427,0.000404309,2036.8085,0.000947524,4538.865,0.013589521,6.919602,0.021089777,0.3410595,14.426593,2355.4263,73975.22,1973729.9
23,baigurang,3864,373221.977,2381831.169,0.080799997,0.075999998,0.080700003,0.062199999,0.031300001,0.1919,0.294800013,0.301499993,44.145428,17.143671,2.69E-18,88.290855,58.394627,4.042433,2.0210392,3.674521,-0.7703213,0.97801405,0.89678144,2.130719,32.54902,235.68628,0.000489174,2118.1995,0.000437862,1904.9559,0.00106708,4366.7744,0.019816453,6.3126206,0.041011978,0.34711844,10.180056,1128.6366,32525.62,1199667
24,baigurang,3865,373207.4196,2381828.753,0.080799997,0.075999998,0.069300003,0.056899998,0.0241,0.169300005,0.257499993,0.277500004,47.17036,45.4876,1.19E-20,94.34072,158.69554,4.847135,2.2739997,8.814137,-0.54888594,0.9765442,0.8965726,1.8129033,22.335484,238.26451,0.000448551,2376.3162,0.000407305,2086.221,0.000763389,4735.874,0.012120073,7.0939455,0.016364517,0.30762398,23.254848,2550.8699,87747.43,2283491
25,baigurang,3866,373226.5094,2381855.674,0.080799997,0.084299996,0.0836,0.070500001,0.0418,0.189700007,0.288199991,0.269199997,48.663433,54.5557,-1.26E-18,97.326866,192.17017,5.0235405,2.3235853,9.739277,-0.52241075,0.9764999,0.8872549,1.8921568,18.261438,229.6536,0.000428647,2504.281,0.000387635,2158.1494,0.000742909,5337.301,0.010876988,7.3354588,0.013953245,0.29173687,26.052631,2081.2607,81410.73,3146568
26,baigurang,3867,373236.956,2381866.564,0.084799998,0.084299996,0.073600002,0.0581,0.036200002,0.084100001,0.135499999,0.053300001,47.63712,48.092693,0,95.27424,164.58684,4.9326634,2.3556983,10.270378,-0.59244716,0.9810301,0.9126953,1.525,20.70625,255.13126,0.000437991,2443.4875,0.000403328,2195.1643,0.000638021,4008.175,0.00949962,7.304944,0.0147869,0.27137813,27.783934,2346.951,81037.23,2724687
27,baigurang,3868,373243.0745,2381876.056,0.080799997,0.082400002,0.082099997,0.069300003,0.035300002,0.202500001,0.305000007,0.32069999,48.590027,53.618626,-1.29E-18,97.18005,188.0756,5.102147,2.3356316,9.846794,-0.5304727,0.9774583,0.892082,1.6848874,19.231512,235.2701,0.000425131,2533.955,0.000383485,2216.3733,0.000690129,4542.4404,0.010596911,7.2846136,0.014059056,0.29665062,26.398891,2179.9783,83825.336,3008616.2
