,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32
0,baigurang,253,374967.428,2381818.592,1453,1328,1226,1250,1284,1448,1458,1522,1475,1714,1298,1085,842,777,755,1049,1395,1755,2027,2204,2375,2439,2597,2526,2474,2360,2391,2553,2671,1728,1384,3539
1,baigurang,257,375119.5196,2381822.049,877,915,819,914,880,1055,1162,1171,1061,1148,987,799,673,636,652,1104,1520,3193,3347,3406,3630,3703,3763,3688,3635,3420,3336,4077,4400,5561,5948,6401
2,baigurang,3836,373366.3504,2382041.285,862,988,824,765,803,933,1042,1092,986,1032,914,745,644,566,601,955,1371,2390,2550,2559,2767,2929,3044,2778,2769,2599,2432,2713,2970,3217,2844,3774
3,baigurang,3837,373370.2795,2382031.086,875,950,809,769,788,967,995,1073,980,1015,935,718,596,553,560,969,1380,2380,2593,2602,2733,2846,2832,2727,2678,2497,2336,2610,2890,3013,2747,4066
4,baigurang,3838,373362.3949,2382023.241,884,908,884,803,770,1027,1011,1018,907,1004,919,734,580,531,581,964,1414,2323,2480,2575,2589,2740,2766,2580,2552,2327,2288,2596,2906,3534,2736,3888
5,baigurang,3840,373349.3773,2382009.221,798,855,719,747,756,940,1030,1013,907,993,879,732,588,533,556,963,1399,2363,2557,2635,2674,2852,2868,2712,2590,2410,2379,2671,2936,3396,2908,3552
6,baigurang,3841,373339.2455,2382013.296,796,858,754,729,715,918,1029,996,909,945,882,711,545,512,543,948,1448,2488,2687,2659,2774,2990,2984,2816,2704,2499,2460,2746,2927,3369,2688,3622
7,baigurang,3842,373331.7445,2382005.565,867,884,694,715,731,901,1017,994,895,937,899,705,537,513,553,959,1455,2683,2789,2727,2875,3103,3057,2929,2786,2580,2510,2831,3006,3488,2870,3885
8,baigurang,3844,373310.9059,2382009.308,876,844,751,658,781,884,1026,971,895,938,840,638,501,473,510,984,1417,2734,2948,2928,3094,3246,3281,3113,3007,2818,2702,3137,3297,3796,3214,4072
9,baigurang,3846,373303.7264,2381964.32,793,893,744,708,707,920,998,974,917,929,882,672,572,517,534,942,1402,2521,2593,2613,2709,2856,2859,2758,2693,2422,2340,2667,2874,3340,2852,3898
