,CLASS_NAME,num,x,y,win15advancedB1,win15advancedB2,win15advancedB3,win15advancedB4,win15advancedB5,win15advancedB6,win15advancedB7,win15advancedB8,win15advancedB9,win15advancedB10,win15higherB1,win15higherB2,win15higherB3,win15higherB4,win15higherB5,win15higherB6,win15higherB7,win15higherB8,win15higherB9,win15higherB10,win15simpleB1,win15simpleB2,win15simpleB3,win15simpleB4,win15simpleB5,win15simpleB6,win15simpleB7,win15simpleB8
0,baigurang,253,374967.428021,2381818.59221,48.48,33.476265,-9.75782e-19,96.96,113.7984,5.0001607,2.25488,7.200988,-0.48891822,0.97180915,0.90115553,2.12,11.43,160.27,0.00042381347,2485.01,0.00038612366,2204.4712,0.00084019126,5787.69,0.008148148,7.3031826,0.02090101,0.27303797,20.106667,1098.7626,45505.418,3448856.0
1,baigurang,257,375119.519645,2381822.04944,43.1,18.836666,1.5991982e-18,86.2,58.782223,4.235776,2.1307738,6.3655357,-0.6807338,0.97222996,0.9028383,1.950495,19.891088,162.58415,0.0005187417,1996.7278,0.00046729523,1810.065,0.0010248667,3810.8267,0.017076543,6.425262,0.02974591,0.33430833,16.564444,887.16266,23281.115,1343739.1
2,baigurang,3836,373366.350393,2382041.28532,46.24,52.13351,5.421011e-19,92.48,173.94737,4.9713635,2.3718405,13.040573,-0.46663478,0.96672875,0.9172683,1.8195122,11.760976,170.34634,0.0004835555,2258.2537,0.0004461899,2050.3577,0.0008406588,4399.0537,0.009392593,7.2705383,0.012818771,0.2603269,34.586666,2051.8584,79236.55,3098809.8
3,baigurang,3837,373370.279464,2382031.08561,48.424446,75.644295,-2.517382e-18,96.84889,261.40826,4.874933,2.2966707,16.991314,-0.49710652,0.96251726,0.86905515,2.6666667,13.145833,143.36458,0.0004637378,2355.7864,0.0004111235,1974.7374,0.0010564466,7784.7446,0.017935803,6.7657437,0.009622384,0.35621375,41.168888,2926.8108,131855.89,2413405.8
4,baigurang,3838,373362.394865,2382023.2407,46.662224,48.797016,-3.577867e-18,93.32445,151.68585,4.695333,2.334775,17.49835,-0.6217179,0.977473,0.8768254,2.2653062,16.785715,148.92857,0.00047134602,2236.4285,0.00041759654,1916.6492,0.0009933566,5756.4287,0.014320987,6.76443,0.011358343,0.30241504,43.502224,2892.2495,103533.25,1929312.2
5,baigurang,3840,373349.377339,2382009.22106,46.61778,18.729462,1.6805134e-18,93.23556,52.144512,4.677943,2.2508695,7.734321,-0.6374337,0.9854256,0.93650794,1.5714285,15.752381,182.14285,0.00044936736,2298.2524,0.00041876826,2164.5422,0.000724759,3501.6428,0.008592593,7.2467275,0.020932004,0.20879772,22.773333,262.44037,7635.2935,2241805.0
6,baigurang,3841,373339.245452,2382013.29565,44.215557,16.969091,1.002887e-18,88.431114,48.99192,4.566022,2.216866,6.521921,-0.6314022,0.9847329,0.91250545,1.862745,16.058823,167.73529,0.0005033954,2051.5344,0.00045855597,1877.9564,0.0009496341,3746.554,0.00882963,7.155113,0.026139494,0.24130692,18.884445,269.44144,7068.2734,1936256.5
7,baigurang,3842,373331.7445,2382005.56451,44.691113,22.57792,2.9747797e-18,89.382225,65.711685,4.7200656,2.277736,8.656143,-0.57601345,0.9818744,0.9404021,1.6095238,16.095238,183.74286,0.0004979149,2088.7285,0.000467995,1967.874,0.0008049745,3318.024,0.0087506175,7.2326236,0.020162174,0.23188627,24.6,431.43033,12091.027,2134745.8
8,baigurang,3844,373310.905875,2382009.30837,41.622223,6.190617,3.0628711e-18,83.244446,13.251358,3.79633,2.0707347,4.1171556,-0.7465728,0.98389316,0.9262048,1.8543689,25.54369,174.65048,0.00055145123,1838.2864,0.0005103278,1705.0155,0.0010347165,3357.471,0.01802469,6.230168,0.011352276,0.32780686,11.511111,26.085508,566.1975,995819.56
9,baigurang,3846,373303.726392,2381964.31986,46.837776,59.655907,3.5575384e-19,93.67555,209.75696,4.6663055,2.3070183,11.280736,-0.5876486,0.969545,0.87582904,2.353846,16.364103,147.73846,0.000480252,2222.513,0.00042632362,1899.6946,0.0010447557,5925.6514,0.02,6.6950607,0.012707156,0.3264752,28.866667,3837.4998,141290.83,1960645.9
