,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
0,baigurang,253,374967.428021,2381818.59221,3.6697965,2.3137033,0.57171583,0.34076616,31.230549,0.94630283,0.91760623,1.0836267,1.0529054,1.0246478,0.99479616,1.0993401,1.2354615,0.40983832,,0.6631548,,249.18434,396.25412,,0.25083408,-0.34076616,0.91248196
1,baigurang,257,375119.519645,2381822.04944,6.1415095,4.3185186,0.71994716,0.5472371,48.52038,2.4152954,2.0866141,2.570184,2.2265966,2.696031,2.3403325,1.5045828,1.9239582,0.6927948,91.518974,0.8351093,3880.0757,263.89792,685.906,91.518974,0.38437003,-0.5472371,1.2671843
2,baigurang,3836,373366.350393,2382041.28532,5.2090397,3.1171663,0.677889,0.46465448,38.924053,1.5073029,1.5469832,1.5209348,1.5608308,1.6679649,1.7101879,1.3825655,1.68916,0.4542914,,0.78631306,,243.68713,486.23355,,0.2737545,-0.46465448,1.1425434
3,baigurang,3837,373370.279464,2382031.08561,4.748624,3.3202703,0.65209067,0.4176938,36.499607,1.3615465,1.1260583,1.354232,1.1194732,1.5830721,1.3254939,1.3106235,1.5634713,0.37274998,,0.7563865,,254.66066,408.19965,,0.2311174,-0.4176938,1.0697844
4,baigurang,3838,373362.394865,2382023.2407,4.803371,3.3218708,0.6553727,0.42105263,36.483723,1.736612,1.3961723,1.610929,1.2861243,1.8043716,1.4555024,1.3196539,1.5788051,0.45637313,,0.7601931,2477.4985,249.92728,458.73053,,0.27480915,-0.42105263,1.0764253
5,baigurang,3840,373349.377339,2382009.22106,4.6777163,3.4313984,0.6477457,0.42097902,35.96593,1.3788546,1.0869565,1.4922907,1.1864735,1.5319383,1.221256,1.2987098,1.5434458,0.26880762,,0.751346,,262.92633,340.7633,,0.17286777,-0.42097902,1.0687248
6,baigurang,3841,373339.245452,2382013.29565,5.0617976,3.1560845,0.67006487,0.45439872,38.1231,1.6584052,1.4329388,1.6821121,1.4546351,1.8480604,1.6065089,1.3605229,1.6497478,0.4322078,,0.7772368,,245.43144,465.02634,,0.26246372,-0.45439872,1.1244636
7,baigurang,3842,373331.7445,2382005.56451,5.122093,3.4269505,0.67331433,0.43836734,37.84362,1.6554713,1.375,1.6998917,1.4147286,1.7334778,1.4447675,1.3696425,1.6659725,0.438873,,0.7810051,2578.2754,247.4236,456.0448,,0.26589125,-0.43836734,1.1116817
8,baigurang,3844,373310.905875,2382009.30837,5.642,3.5603054,0.69888586,0.47696334,40.27548,2.186839,1.7147148,2.213866,1.7377378,2.26557,1.7817818,1.4426903,1.8011742,0.6022809,,0.8106686,,230.58691,526.25903,,0.34473953,-0.47696334,1.1758492
9,baigurang,3846,373303.726392,2381964.31986,4.8785577,3.5837038,0.6597805,0.43751746,36.72317,1.6598712,1.4642147,1.6244636,1.4314115,1.6695279,1.473161,1.3318391,1.5996865,0.38856515,,0.7653059,2495.5247,237.96727,426.45944,,0.23959196,-0.43751746,1.097298
10,baigurang,3847,373289.733874,2381948.23051,4.890877,3.8625526,0.66049194,0.46125066,37.90211,1.4707183,1.218254,1.5138122,1.2569444,1.5635359,1.3015873,1.3338321,1.6030885,0.39211872,49.786316,0.7661334,2689.3752,234.66106,394.93576,49.786316,0.24148236,-0.46125066,1.1217426
11,baigurang,3849,373230.817663,2381924.19108,5.8597937,3.4609826,0.708446,0.48291156,40.863277,1.9596775,1.5923309,1.9919355,1.6205853,2.112903,1.7265389,1.4705515,1.8555058,0.4872758,,0.8217579,,231.71011,492.414,,0.29027238,-0.48291156,1.1913576
12,baigurang,3851,373207.796221,2381883.71041,5.478846,3.7636364,0.6913031,0.46553499,40.125362,1.7306867,1.4494706,1.8969957,1.5986526,1.9774678,1.6708374,1.420815,1.7596136,0.44902667,,0.80187345,2779.4126,242.55556,494.09775,,0.27107978,-0.46553499,1.156838
13,baigurang,3852,373168.759518,2381844.82585,5.161165,3.4407008,0.6753861,0.4328841,38.044083,1.4311827,1.1492395,1.5408602,1.2461977,1.5784947,1.2794677,1.3754814,1.6764226,0.39251468,52.770763,0.78340834,2615.6953,241.86009,415.7676,52.770763,0.2416927,-0.4328841,1.1082702
14,baigurang,3853,373145.795579,2381831.73547,2.9482758,2.2263682,0.49344978,0.25987944,24.766068,0.95583594,0.68325794,0.9179811,0.65067875,1.0441641,0.75927603,0.910436,0.98049796,0.35972458,,0.5723654,,218.68289,336.22263,,0.22406219,-0.25987944,0.7533292
15,baigurang,3855,373147.721749,2381855.63269,5.134892,2.9225721,0.6739959,0.46937725,39.3639,1.7201647,1.5645005,1.9197531,1.7526673,1.9814814,1.8108633,1.3715874,1.6694012,0.5547503,,0.78179854,2775.2861,241.35983,552.4848,,0.3228045,-0.46937725,1.1433731
16,baigurang,3857,373128.882055,2381863.80198,5.4808044,3.412234,0.69139636,0.4804938,41.16567,1.638067,1.5427756,1.8392504,1.7366921,1.9122288,1.8070343,1.4211003,1.7601169,0.5099554,,0.80198354,2910.9314,238.98058,529.51373,,0.3013933,-0.4804938,1.1718901
17,baigurang,3858,373100.975734,2381895.72468,5.1001787,3.215847,0.6721408,0.45607764,39.249798,1.5307317,1.4356807,1.5882927,1.4910798,1.6985366,1.5971831,1.3663678,1.6600896,0.50557303,138.38698,0.7796467,2849.4385,256.07944,522.94275,138.38698,0.29925925,-0.45607764,1.1282184
18,baigurang,3859,373107.907831,2381911.75847,5.4614005,3.4289694,0.69046956,0.47813413,41.42242,1.6631068,1.5540037,1.8,1.6852887,1.9038835,1.7849162,1.4184438,1.7551243,0.537285,,0.8009091,,258.54858,553.9794,,0.31454286,-0.47813413,1.1686037
19,baigurang,3860,373117.882643,2381931.11542,6.4639378,4.0326242,0.73204494,0.50693023,45.298145,2.1023707,1.6534562,2.286638,1.81106,2.3965516,1.9050691,1.5407194,1.999962,0.5518592,129.88835,0.84913665,,258.4,592.36816,129.88835,0.32144448,-0.50693023,1.2389752
20,baigurang,3861,373215.534417,2381846.67332,5.436077,3.562963,0.6892517,0.4617377,41.783665,1.3231441,1.3272091,1.4043669,1.408574,1.5991267,1.6036745,1.4149573,1.7485919,0.5142075,,0.7994972,,262.2623,506.59332,,0.3034571,-0.4617377,1.1509894
