,CLASS_NAME,num,x,y,RVI,GNDVI,RDVI,CIg2,MSR2,MSAVI,MCARI1,MCARI2,CMRI
0,baigurang,253,374967.428,2381818.592,3.3423424,0.28088778,31.332775,0.5116598,0.28926107,,347.95856,,0.8203069
1,baigurang,257,375119.5196,2381822.049,5.9166665,0.5281218,47.146656,1.9311532,0.6717166,3719.8853,663.7681,65.976074,1.2389652
2,baigurang,3836,373366.3504,2382041.285,5.378092,0.48996574,41.24276,1.4558542,0.50850666,2960.451,507.1087,,1.1763923
3,baigurang,3837,373370.2795,2382031.086,5.121157,0.48001045,39.17103,1.6150753,0.51803845,2750.5107,516.4489,,1.1532749
4,baigurang,3838,373362.3949,2382023.241,5.2090397,0.46465448,38.924053,1.5469832,0.4542914,,486.23355,,1.1425434
5,baigurang,3840,373349.3773,2382009.221,5.380863,0.47152385,40.039032,1.5582525,0.49223393,,506.8571,,1.1580867
6,baigurang,3841,373339.2455,2382013.296,5.828125,0.4871667,41.808323,1.5840622,0.5063482,2908.4458,534.14874,,1.1942605
7,baigurang,3842,373331.7445,2382005.565,5.9590645,0.50073636,42.577778,1.6814159,0.5368298,2991.6345,556.75006,,1.2133415
8,baigurang,3844,373310.9059,2382009.308,6.936575,0.5235663,45.830013,1.8538011,0.61559933,,588.7183,,1.2715684
9,baigurang,3846,373303.7264,2381964.32,5.5299807,0.48249936,40.307484,1.6182364,0.5032449,,515.1661,,1.1762197
10,baigurang,3847,373289.7339,2381948.231,5.9863634,0.4536424,39.571697,1.5565656,0.48632565,2558.5378,490.71722,,1.1673704
11,baigurang,3849,373230.8177,2381924.191,7.1928253,0.5334608,45.69192,1.8995901,0.55558723,,539.31506,129.86942,1.2893448
12,baigurang,3851,373207.7962,2381883.71,5.546618,0.5019802,41.55982,1.552684,0.4617689,,517.55896,,1.196479
13,baigurang,3852,373168.7595,2381844.826,5.55916,0.47381735,40.749886,1.6692308,0.5508043,,568.3499,,1.1689003
14,baigurang,3853,373145.7956,2381831.735,4.425532,0.41096663,34.925804,1.3531669,0.46654442,2444.2673,492.3656,41.10058,1.0423392
15,baigurang,3855,373147.7217,2381855.633,6.263862,0.5142131,44.665436,1.6098953,0.5787544,,548.7988,,1.2388774
16,baigurang,3857,373128.8821,2381863.802,5.09075,0.47584113,39.677555,1.4835907,0.4600388,2855.6755,480.91733,,1.1474744
17,baigurang,3858,373100.9757,2381895.725,5.730909,0.48925114,42.76506,1.5689176,0.5607554,3086.5588,561.22894,,1.1921145
18,baigurang,3859,373107.9078,2381911.758,6.3869734,0.51339084,45.28421,1.7639925,0.55574346,3264.3982,587.0943,,1.242644
19,baigurang,3860,373117.8826,2381931.115,6.487427,0.5183341,45.598206,1.6766918,0.56418663,3267.4814,579.0895,,1.2512196
20,baigurang,3861,373215.5344,2381846.673,5.0846562,0.45753285,39.430202,1.2124883,0.46490782,2826.4714,444.101,43.02595,1.1288372
21,baigurang,3862,373213.0539,2381836.156,5.020478,0.45463535,39.66532,1.2601994,0.49808708,2889.1873,470.18253,46.603443,1.1224358
22,baigurang,3863,373222.9758,2381841.216,5.52356,0.47897196,42.39507,1.3515695,0.49732506,3097.8076,505.82785,,1.1723909
23,baigurang,3864,373221.977,2381831.169,5.436077,0.4617377,41.783665,1.3272091,0.5142075,,506.59332,,1.1509894
