,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
0,baigurang,253,374967.428,2381818.592,-11.258067,-20.599403,9.341336,-15.928736,0.5465239
1,baigurang,257,375119.5196,2381822.049,-12.911981,-20.147547,7.235566,-16.529764,0.6408711
2,baigurang,3836,373366.3504,2382041.285,-14.212379,-19.425264,5.212885,-16.81882,0.7316441
3,baigurang,3837,373370.2795,2382031.086,-14.782971,-20.602303,5.819331,-17.692636,0.7175398
4,baigurang,3838,373362.3949,2382023.241,-12.580205,-20.205948,7.625743,-16.393076,0.6225991
5,baigurang,3840,373349.3773,2382009.221,-11.673873,-16.579391,4.9055185,-14.126633,0.7041195
6,baigurang,3841,373339.2455,2382013.296,-11.448205,-17.373693,5.9254885,-14.41095,0.65893906
7,baigurang,3842,373331.7445,2382005.565,-12.18816,-17.16039,4.972231,-14.674275,0.71024954
8,baigurang,3844,373310.9059,2382009.308,-12.697454,-17.354887,4.6574326,-15.026171,0.7316357
9,baigurang,3846,373303.7264,2381964.32,-12.0947075,-17.032545,4.9378376,-14.563626,0.710094
10,baigurang,3847,373289.7339,2381948.231,-12.274973,-17.164082,4.8891087,-14.719527,0.71515465
11,baigurang,3849,373230.8177,2381924.191,-11.161383,-19.686893,8.525511,-15.424138,0.56694484
12,baigurang,3851,373207.7962,2381883.71,-13.82329,-17.242641,3.4193516,-15.532966,0.8016921
13,baigurang,3852,373168.7595,2381844.826,-12.254655,-20.944761,8.690106,-16.599709,0.58509403
14,baigurang,3853,373145.7956,2381831.735,-10.065406,-17.689142,7.6237364,-13.877274,0.56901604
15,baigurang,3855,373147.7217,2381855.633,-11.830392,-17.272415,5.4420233,-14.551403,0.6849298
16,baigurang,3857,373128.8821,2381863.802,-10.589462,-18.754591,8.165129,-14.672027,0.5646331
17,baigurang,3858,373100.9757,2381895.725,-9.585139,-19.993868,10.408729,-14.789503,0.47940394
18,baigurang,3859,373107.9078,2381911.758,-10.524463,-19.87029,9.345828,-15.197376,0.5296582
19,baigurang,3860,373117.8826,2381931.115,-12.748753,-17.255987,4.5072346,-15.00237,0.7388017
20,baigurang,3861,373215.5344,2381846.673,-10.484973,-18.174849,7.6898756,-14.32991,0.57689464
21,baigurang,3862,373213.0539,2381836.156,-9.639373,-18.035667,8.396295,-13.837521,0.5344617
22,baigurang,3863,373222.9758,2381841.216,-10.43643,-16.816021,6.379591,-13.626225,0.62062424
23,baigurang,3864,373221.977,2381831.169,-8.646207,-16.110182,7.463975,-12.378195,0.5366921
24,baigurang,3865,373207.4196,2381828.753,-9.955088,-19.134823,9.179735,-14.544955,0.5202603
25,baigurang,3866,373226.5094,2381855.674,-13.101845,-18.278358,5.1765137,-15.690102,0.7167955
26,baigurang,3867,373236.956,2381866.564,-11.91451,-17.447475,5.5329657,-14.680992,0.68287873
27,baigurang,3868,373243.0745,2381876.056,-10.045446,-17.851976,7.80653,-13.948711,0.5627078
28,baigurang,3870,373248.4323,2381863.058,-10.018497,-16.935223,6.916725,-13.47686,0.59157753
29,baigurang,3871,373258.685,2381858.692,-9.439697,-16.977493,7.537796,-13.208595,0.55601245
30,baigurang,3872,373266.9863,2381869.739,-10.223995,-16.142015,5.9180202,-13.183005,0.63337785
31,baigurang,3873,373266.0933,2381883.2,-10.765531,-17.348688,6.5831575,-14.05711,0.6205386
32,baigurang,3874,373264.5058,2381897.289,-10.990925,-18.326195,7.33527,-14.65856,0.59973854
33,baigurang,3876,373286.0363,2381908.699,-10.612821,-18.741577,8.1287565,-14.677198,0.5662715
34,baigurang,3878,373278.564,2381899.283,-10.561591,-18.918756,8.357165,-14.740173,0.5582603
35,baigurang,3879,373191.9856,2381811.832,-10.000248,-16.783588,6.7833405,-13.391918,0.5958349
36,baigurang,3881,373175.9915,2381799.323,-11.473294,-17.38931,5.9160166,-14.431303,0.65979004
37,baigurang,3882,373187.0114,2381784.163,-12.383894,-18.661695,6.2778015,-15.522795,0.6635996
38,baigurang,3883,373196.457,2381791.307,-11.886295,-17.785112,5.898817,-14.835704,0.6683284
39,baigurang,3884,373199.9892,2381779.202,-12.413651,-18.700216,6.286565,-15.556934,0.66382396
