,CLASS_NAME,num,x,y,Entropy,Alpha,Anisotropy,HA,H(1-A),(1-H)A,(1-H)(1-A)
0,baigurang,253,374967.428,2381818.592,0.47929722,10.08992,0.7934466,4.8360705,-4.3567734,5.2538495,-4.7331467
1,baigurang,257,375119.5196,2381822.049,0.67566764,18.391981,0.64401317,12.426867,-11.751199,5.9651146,-5.6407824
2,baigurang,3836,373366.3504,2382041.285,0.7306356,20.137007,0.59120584,14.712813,-13.982178,5.424193,-5.1548285
3,baigurang,3837,373370.2795,2382031.086,0.678197,17.95119,0.64171547,12.174444,-11.496247,5.7767467,-5.4549437
4,baigurang,3838,373362.3949,2382023.241,0.70251113,18.663647,0.6190049,13.11142,-12.408909,5.552227,-5.2547383
5,baigurang,3840,373349.3773,2382009.221,0.7403156,21.50443,0.5812195,15.920066,-15.17975,5.584365,-5.3246803
6,baigurang,3841,373339.2455,2382013.296,0.7637801,22.38036,0.55602497,17.093674,-16.329893,5.286686,-5.050466
7,baigurang,3842,373331.7445,2382005.565,0.7845906,23.651112,0.5323841,18.55644,-17.771849,5.0946717,-4.8792624
8,baigurang,3844,373310.9059,2382009.308,0.7928401,25.249454,0.5226378,20.01878,-19.22594,5.230674,-5.023514
9,baigurang,3846,373303.7264,2381964.32,0.811024,25.751753,0.50032055,20.88529,-20.074266,4.866463,-4.677487
10,baigurang,3847,373289.7339,2381948.231,0.7749156,24.226395,0.5435371,18.77341,-17.998495,5.452984,-5.2278996
11,baigurang,3849,373230.8177,2381924.191,0.6297772,14.814614,0.6837731,9.329906,-8.700129,5.4847083,-5.1144853
12,baigurang,3851,373207.7962,2381883.71,0.69739753,18.724379,0.623878,13.058335,-12.360938,5.6660433,-5.3634405
13,baigurang,3852,373168.7595,2381844.826,0.6111955,15.865542,0.6989156,9.696948,-9.0857525,6.1685944,-5.77979
14,baigurang,3853,373145.7956,2381831.735,0.6797836,19.571455,0.6402682,13.304354,-12.62457,6.2671013,-5.9468846
15,baigurang,3855,373147.7217,2381855.633,0.63425666,15.087071,0.68004423,9.569076,-8.934819,5.517996,-5.1522527
16,baigurang,3857,373128.8821,2381863.802,0.66489714,17.522026,0.6536672,11.650345,-10.985448,5.871681,-5.536578
17,baigurang,3858,373100.9757,2381895.725,0.61879164,17.164167,0.69278765,10.621043,-10.002252,6.543124,-6.161916
18,baigurang,3859,373107.9078,2381911.758,0.72581017,21.546825,0.59610087,15.638905,-14.9130945,5.9079204,-5.6337304
19,baigurang,3860,373117.8826,2381931.115,0.8212016,25.856823,0.48728272,21.233665,-20.412464,4.623158,-4.44436
20,baigurang,3861,373215.5344,2381846.673,0.6189415,16.55445,0.69266593,10.246235,-9.627294,6.3082137,-5.927155
21,baigurang,3862,373213.0539,2381836.156,0.6133607,16.38679,0.6971775,10.051013,-9.437652,6.335777,-5.949137
22,baigurang,3863,373222.9758,2381841.216,0.6412395,17.16907,0.6741685,11.009486,-10.368246,6.1595836,-5.800823
23,baigurang,3864,373221.977,2381831.169,0.6469915,17.374475,0.66926974,11.2411375,-10.594147,6.1333375,-5.780329
24,baigurang,3865,373207.4196,2381828.753,0.62774044,16.905994,0.68545824,10.6125765,-9.984836,6.293418,-5.9211583
25,baigurang,3866,373226.5094,2381855.674,0.65445936,16.820036,0.66282845,11.00803,-10.353571,5.812006,-5.4664655
26,baigurang,3867,373236.956,2381866.564,0.6640408,16.33001,0.6544259,10.843793,-10.179751,5.486217,-5.1502576
27,baigurang,3868,373243.0745,2381876.056,0.662457,17.153738,0.6558258,11.363614,-10.701157,5.7901244,-5.4525814
28,baigurang,3870,373248.4323,2381863.058,0.64540327,15.860074,0.67062783,10.236143,-9.59074,5.6239305,-5.269334
29,baigurang,3871,373258.685,2381858.692,0.659039,16.479025,0.65883195,10.86032,-10.201282,5.6187043,-5.2777433
30,baigurang,3872,373266.9863,2381869.739,0.61802673,15.876849,0.69340855,9.812317,-9.19429,6.064532,-5.6825585
31,baigurang,3873,373266.0933,2381883.2,0.60261935,15.547353,0.70573366,9.369136,-8.766517,6.178217,-5.7808366
32,baigurang,3874,373264.5058,2381897.289,0.6151295,15.987335,0.6957526,9.834281,-9.2191515,6.153054,-5.7681837
33,baigurang,3876,373286.0363,2381908.699,0.64985096,16.232096,0.6668143,10.548443,-9.898592,5.683653,-5.3335037
34,baigurang,3878,373278.564,2381899.283,0.6200196,15.962329,0.69178903,9.896957,-9.2769375,6.065372,-5.6853914
35,baigurang,3879,373191.9856,2381811.832,0.65874636,17.440357,0.65908843,11.488771,-10.830026,5.9515853,-5.6103315
36,baigurang,3881,373175.9915,2381799.323,0.695779,18.546942,0.6254094,12.904573,-12.208794,5.642369,-5.3381476
37,baigurang,3882,373187.0114,2381784.163,0.6761575,16.615881,0.6435692,11.234952,-10.558795,5.380929,-5.0570865
38,baigurang,3883,373196.457,2381791.307,0.67431384,17.750977,0.64523816,11.969729,-11.295415,5.781247,-5.455561
39,baigurang,3884,373199.9892,2381779.202,0.66504645,17.893347,0.65353477,11.899907,-11.23486,5.99344,-5.6584864
40,baigurang,3885,373208.9189,2381772.256,0.6834776,19.404232,0.6368803,13.262358,-12.57888,6.1418743,-5.825352
41,baigurang,3886,373191.0992,2381763.168,0.6854275,17.281197,0.6350815,11.845007,-11.159579,5.4361897,-5.121617
42,baigurang,3887,373210.6046,2381787.585,0.68341815,19.538332,0.63693494,13.352851,-12.669433,6.185481,-5.8688993
43,baigurang,3888,373223.0929,2381794.728,0.67136544,18.467255,0.64789444,12.398276,-11.726912,6.0689783,-5.7403436
44,baigurang,3889,373224.5217,2381780.758,0.6847486,19.499865,0.63570863,13.352505,-12.667756,6.14736,-5.8321085
45,baigurang,3893,373252.5676,2381811.027,0.69225585,18.35377,0.6287248,12.705504,-12.013248,5.648265,-5.340521
46,baigurang,3894,373248.5988,2381797.057,0.66990316,17.715502,0.649206,11.867671,-11.197767,5.8478312,-5.5177345
47,baigurang,3896,373389.4588,2381994.342,0.43405712,11.232159,0.8214429,4.8753986,-4.4413414,6.35676,-5.7908173
48,baigurang,3897,373384.0679,2381985.114,0.46134165,12.222824,0.8047998,5.638898,-5.177556,6.5839267,-6.045268
49,baigurang,3898,373392.4738,2381978.584,0.5021725,14.676835,0.77850103,7.370303,-6.8681307,7.306532,-6.8087044
50,baigurang,3899,373402.4609,2381979.22,0.5459606,14.827598,0.74828947,8.095284,-7.5493236,6.7323136,-6.278274
51,baigurang,3900,373396.0426,2381968.165,0.59782094,15.809401,0.70950294,9.451191,-8.85337,6.35821,-5.956031
52,baigurang,3901,373387.0602,2381959.676,0.61802423,16.797834,0.69341063,10.381469,-9.763445,6.4163656,-6.03439
53,baigurang,3902,373402.0727,2381937.176,0.73931545,20.078852,0.58226186,14.844605,-14.105289,5.2342463,-4.973562
54,baigurang,3904,373380.9859,2381942.661,0.76711684,22.024143,0.5523207,16.895092,-16.127974,5.129052,-4.8961687
55,baigurang,3905,373409.0539,2381920.194,0.7909099,24.970768,0.5249384,19.749628,-18.958717,5.221141,-5.0120506
