,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
0,baigurang,253,374967.428,2381818.592,-11.258067,-20.599403,-15.928736,0.47929722,10.08992,0.7934466,4.8360705,-4.3567734
1,baigurang,257,375119.5196,2381822.049,-12.911981,-20.147547,-16.529764,0.67566764,18.391981,0.64401317,12.426867,-11.751199
2,baigurang,3836,373366.3504,2382041.285,-14.212379,-19.425264,-16.81882,0.7306356,20.137007,0.59120584,14.712813,-13.982178
3,baigurang,3837,373370.2795,2382031.086,-14.782971,-20.602303,-17.692636,0.678197,17.95119,0.64171547,12.174444,-11.496247
4,baigurang,3838,373362.3949,2382023.241,-12.580205,-20.205948,-16.393076,0.70251113,18.663647,0.6190049,13.11142,-12.408909
5,baigurang,3840,373349.3773,2382009.221,-11.673873,-16.579391,-14.126633,0.7403156,21.50443,0.5812195,15.920066,-15.17975
6,baigurang,3841,373339.2455,2382013.296,-11.448205,-17.373693,-14.41095,0.7637801,22.38036,0.55602497,17.093674,-16.329893
7,baigurang,3842,373331.7445,2382005.565,-12.18816,-17.16039,-14.674275,0.7845906,23.651112,0.5323841,18.55644,-17.771849
8,baigurang,3844,373310.9059,2382009.308,-12.697454,-17.354887,-15.026171,0.7928401,25.249454,0.5226378,20.01878,-19.22594
9,baigurang,3846,373303.7264,2381964.32,-12.0947075,-17.032545,-14.563626,0.811024,25.751753,0.50032055,20.88529,-20.074266
10,baigurang,3847,373289.7339,2381948.231,-12.274973,-17.164082,-14.719527,0.7749156,24.226395,0.5435371,18.77341,-17.998495
11,baigurang,3849,373230.8177,2381924.191,-11.161383,-19.686893,-15.424138,0.6297772,14.814614,0.6837731,9.329906,-8.700129
12,baigurang,3851,373207.7962,2381883.71,-13.82329,-17.242641,-15.532966,0.69739753,18.724379,0.623878,13.058335,-12.360938
13,baigurang,3852,373168.7595,2381844.826,-12.254655,-20.944761,-16.599709,0.6111955,15.865542,0.6989156,9.696948,-9.0857525
14,baigurang,3853,373145.7956,2381831.735,-10.065406,-17.689142,-13.877274,0.6797836,19.571455,0.6402682,13.304354,-12.62457
15,baigurang,3855,373147.7217,2381855.633,-11.830392,-17.272415,-14.551403,0.63425666,15.087071,0.68004423,9.569076,-8.934819
16,baigurang,3857,373128.8821,2381863.802,-10.589462,-18.754591,-14.672027,0.66489714,17.522026,0.6536672,11.650345,-10.985448
17,baigurang,3858,373100.9757,2381895.725,-9.585139,-19.993868,-14.789503,0.61879164,17.164167,0.69278765,10.621043,-10.002252
18,baigurang,3859,373107.9078,2381911.758,-10.524463,-19.87029,-15.197376,0.72581017,21.546825,0.59610087,15.638905,-14.9130945
19,baigurang,3860,373117.8826,2381931.115,-12.748753,-17.255987,-15.00237,0.8212016,25.856823,0.48728272,21.233665,-20.412464
20,baigurang,3861,373215.5344,2381846.673,-10.484973,-18.174849,-14.32991,0.6189415,16.55445,0.69266593,10.246235,-9.627294
21,baigurang,3862,373213.0539,2381836.156,-9.639373,-18.035667,-13.837521,0.6133607,16.38679,0.6971775,10.051013,-9.437652
22,baigurang,3863,373222.9758,2381841.216,-10.43643,-16.816021,-13.626225,0.6412395,17.16907,0.6741685,11.009486,-10.368246
23,baigurang,3864,373221.977,2381831.169,-8.646207,-16.110182,-12.378195,0.6469915,17.374475,0.66926974,11.2411375,-10.594147
24,baigurang,3865,373207.4196,2381828.753,-9.955088,-19.134823,-14.544955,0.62774044,16.905994,0.68545824,10.6125765,-9.984836
25,baigurang,3866,373226.5094,2381855.674,-13.101845,-18.278358,-15.690102,0.65445936,16.820036,0.66282845,11.00803,-10.353571
26,baigurang,3867,373236.956,2381866.564,-11.91451,-17.447475,-14.680992,0.6640408,16.33001,0.6544259,10.843793,-10.179751
27,baigurang,3868,373243.0745,2381876.056,-10.045446,-17.851976,-13.948711,0.662457,17.153738,0.6558258,11.363614,-10.701157
