,CLASS_NAME,num,x,y,WV2_B2,WV2_B3,WV2_B4,WV2_B5,WV2_B6,RVI,GNDVI,MTVI2,MCARI,NDWI,advanced6,advanced7,advanced8,advanced9,higher3,higher5,higher7,higher8,simple2,simple3,simple4,simple5,simple7,OHS_B1,OHS_B13,OHS_B16,OHS_B32,dif_B2,dif_B3,dif_B9,dif_B16,dif_B22,dif_B29,OHS_MSR2
0,baigurang,253,374967.428,2381818.592,0.079676308,0.072773978,0.057488117,0.028070293,0.163983762,8.053899,0.512972,0.4248739,0.68742484,-0.512972,5.1212254,2.3580415,10.028307,-0.5298477,17.415585,0.000422775,0.000389971,2216.3096,7.511809,0.01554767,0.2976659,26.925207,65911.34,919,715,996,2706,19.5,-46,-28,293.5,-11,-527,0.40983832
1,baigurang,257,375119.5196,2381822.049,0.075985663,0.07206431,0.054468926,0.024878891,0.222080052,14.930909,0.6750411,0.68327606,1.4924839,-0.6750411,4.549542,2.2498546,9.339633,-0.7142155,28.15625,0.00051011,0.000462759,1861.7689,7.023199,0.020518659,0.30693462,24.213297,23196.465,1004,676,1058,6768,-83.5,-87.5,-18.5,444.5,109,815.5,0.6927948
2,baigurang,3836,373366.3504,2382041.285,0.079700001,0.071400002,0.054499999,0.0265,0.213100001,14.818868,0.69230765,0.697714,1.2726493,-0.69230765,5.2383585,2.4317653,15.684962,-0.5342813,18.125381,0.000492249,0.000459107,2039.108,7.7152667,0.010806369,0.25409156,41.240997,108904.29,884,580,964,3888,0,-52.5,-7,416.5,88.5,469,0.4542914
3,baigurang,3837,373370.2795,2382031.086,0.0788,0.072800003,0.058699999,0.028899999,0.189700007,11.99308,0.65283734,0.6164958,0.90202695,-0.65283734,5.081929,2.4054928,17.406513,-0.5494956,17.597315,0.000456561,0.000407837,1984.7336,7.1890206,0.009483716,0.33232254,43.526318,127615.34,870,597,999,3756,-6.5,-56,-15,379.5,167.5,525,0.37274998
4,baigurang,3838,373362.3949,2382023.241,0.079700001,0.0814,0.066399999,0.036200002,0.188899994,8.464088,0.58019596,0.5214034,0.68463194,-0.58019596,4.9185286,2.4072418,16.472996,-0.6178078,22.576923,0.00047216,0.000428217,1950.8007,7.252149,0.011528264,0.29943037,41.65928,105012.83,824,571,979,3837,-44,-33.5,1.5,375,88,551,0.45637313
5,baigurang,3840,373349.3773,2382009.221,0.0788,0.075000003,0.064599998,0.032099999,0.172299996,7.841122,0.54086316,0.44742015,0.6480841,-0.54086316,4.9590225,2.4277635,13.05911,-0.6506217,22.203592,0.000455922,0.000426542,2174.4333,7.6200356,0.013874066,0.23012869,35.781162,37825.137,960,611,1064,3712,-132,-70.5,-10.5,413,138.5,500.5,0.26880762
6,baigurang,3841,373339.2455,2382013.296,0.079700001,0.077100001,0.059799999,0.028100001,0.2183,12.622775,0.6428902,0.64234835,1.2582159,-0.6428902,4.7290907,2.273273,7.754069,-0.6686433,24.4,0.000501387,0.000468335,1935.0161,7.4299808,0.021891158,0.23197685,22.376732,9540.176,837,562,973,3527,-86,-69,-13,421.5,107,417.5,0.4322078
7,baigurang,3842,373331.7445,2382005.565,0.079700001,0.078599997,0.067599997,0.0337,0.229699999,10.154303,0.6264259,0.5863841,1.1299604,-0.6264259,4.8538556,2.3618562,10.88051,-0.65972215,23.156626,0.000491304,0.000459569,2003.3232,7.562058,0.016372174,0.23577364,29.916897,19585.756,957,567,966,3526,-115.5,-99,-16.5,395.5,75.5,403.5,0.438873
8,baigurang,3844,373310.9059,2382009.308,0.074199997,0.072800003,0.054499999,0.0233,0.217600003,16.600859,0.68320274,0.71979624,1.5441195,-0.68320274,4.0090194,2.1784678,5.780657,-0.77065384,34.537537,0.000548801,0.000518006,1755.0615,6.6976075,0.012252723,0.28168812,16.271467,1850.8075,865,555,886,3922,-69,-50.5,-43,368,43,251.5,0.6022809
9,baigurang,3846,373303.7264,2381964.32,0.080600001,0.092100002,0.074699998,0.042599998,0.244000003,9.319249,0.62338996,0.6278399,0.9795513,-0.62338996,4.731851,2.3212914,10.914406,-0.588396,23.09396,0.000477229,0.000432912,1919.769,6.833033,0.011440973,0.33172283,28.124653,150644.5,851,555,935,3994,-46.5,-105.5,-42.5,410.5,62.5,524,0.38856515
10,baigurang,3847,373289.7339,2381948.231,0.0788,0.075000003,0.055100001,0.035300002,0.193399996,10.399433,0.6607103,0.60481906,0.73645395,-0.6607103,4.8765416,2.4064567,12.839059,-0.5469849,19.812902,0.0004501,0.000417091,2100.4414,7.1458693,0.011523959,0.30607563,33.545708,112594.39,849,597,940,3780,-27.5,-76.5,-36,368.5,229.5,498.5,0.39211872
11,baigurang,3849,373230.8177,2381924.191,0.082400002,0.0814,0.060400002,0.031300001,0.227400005,11.565495,0.6328371,0.6366323,1.2125578,-0.6328371,4.35918,2.1770566,8.693213,-0.7172393,32.40836,0.000495424,0.000439995,1858.2708,6.647376,0.022811113,0.34395993,21.886427,38881.13,906,518,890,3789,-103,-74.5,-39,414,122.5,474.5,0.4872758
