,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,B8
0,baigurang,253,374967.428,2381818.592,0.079676308,0.072773978,0.057488117,0.028070293,0.163983762,0.226075292,0.212766171
1,baigurang,257,375119.5196,2381822.049,0.075985663,0.07206431,0.054468926,0.024878891,0.222080052,0.371464461,0.421386451
2,baigurang,3836,373366.3504,2382041.285,0.079700001,0.071400002,0.054499999,0.0265,0.213100001,0.392699987,0.403499991
3,baigurang,3837,373370.2795,2382031.086,0.0788,0.072800003,0.058699999,0.028899999,0.189700007,0.346599996,0.324299991
4,baigurang,3838,373362.3949,2382023.241,0.079700001,0.0814,0.066399999,0.036200002,0.188899994,0.306400001,0.301499993
5,baigurang,3840,373349.3773,2382009.221,0.0788,0.075000003,0.064599998,0.032099999,0.172299996,0.251700014,0.278699994
6,baigurang,3841,373339.2455,2382013.296,0.079700001,0.077100001,0.059799999,0.028100001,0.2183,0.354699999,0.371100008
7,baigurang,3842,373331.7445,2382005.565,0.079700001,0.078599997,0.067599997,0.0337,0.229699999,0.342200011,0.399899989
8,baigurang,3844,373310.9059,2382009.308,0.074199997,0.072800003,0.054499999,0.0233,0.217600003,0.386799991,0.4023
9,baigurang,3846,373303.7264,2381964.32,0.080600001,0.092100002,0.074699998,0.042599998,0.244000003,0.397000015,0.379500002
10,baigurang,3847,373289.7339,2381948.231,0.0788,0.075000003,0.055100001,0.035300002,0.193399996,0.3671,0.343499988
11,baigurang,3849,373230.8177,2381924.191,0.082400002,0.0814,0.060400002,0.031300001,0.227400005,0.361999989,0.339899987
12,baigurang,3851,373207.7962,2381883.71,0.086099997,0.085699998,0.0616,0.036200002,0.200200006,0.331999987,0.331499994
13,baigurang,3852,373168.7595,2381844.826,0.082400002,0.082800001,0.065200001,0.032099999,0.214599997,0.349599987,0.353100002
14,baigurang,3853,373145.7956,2381831.735,0.075999998,0.0836,0.061000001,0.037,0.193399996,0.344399989,0.367500007
15,baigurang,3855,373147.7217,2381855.633,0.080600001,0.077100001,0.062799998,0.032900002,0.209999993,0.362699986,0.369899988
