,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,MSAVI,MCARI,NDWI,CMRI
0,baigurang,253,374967.428,2381818.592,8.053899,0.19800499,0.512972,0.36389393,0.68742484,-0.512972,1.2920727
1,baigurang,257,375119.5196,2381822.049,14.930909,0.34658557,0.6750411,0.61401695,1.4924839,-0.6750411,1.549499
2,baigurang,3836,373366.3504,2382041.285,14.818868,0.3662,0.69230765,0.6387055,1.2726493,-0.69230765,1.5658765
3,baigurang,3837,373370.2795,2382031.086,11.99308,0.3177,0.65283734,0.56141317,0.90202695,-0.65283734,1.4989092
4,baigurang,3838,373362.3949,2382023.241,8.464088,0.2702,0.58019596,0.47491708,0.68463194,-0.58019596,1.3688709
5,baigurang,3840,373349.3773,2382009.221,7.841122,0.21960002,0.54086316,0.39694256,0.6480841,-0.54086316,1.3146476
6,baigurang,3841,373339.2455,2382013.296,12.622775,0.3266,0.6428902,0.57664955,1.2582159,-0.6428902,1.4960772
7,baigurang,3842,373331.7445,2382005.565,10.154303,0.30850002,0.6264259,0.53838944,1.1299604,-0.6264259,1.447123
8,baigurang,3844,373310.9059,2382009.308,16.600859,0.3635,0.68320274,0.6430497,1.5441195,-0.68320274,1.569572
9,baigurang,3846,373303.7264,2381964.32,9.319249,0.3544,0.62338996,0.58746976,0.9795513,-0.62338996,1.4295774
10,baigurang,3847,373289.7339,2381948.231,10.399433,0.33179998,0.6607103,0.57001007,0.73645395,-0.6607103,1.4852629
11,baigurang,3849,373230.8177,2381924.191,11.565495,0.33069998,0.6328371,0.5762658,1.2125578,-0.6328371,1.473671
12,baigurang,3851,373207.7962,2381883.71,9.17127,0.29579997,0.5896576,0.514787,0.7803376,-0.5896576,1.3930253
13,baigurang,3852,373168.7595,2381844.826,10.890965,0.3175,0.61702126,0.5549474,1.0438519,-0.61702126,1.4488263
14,baigurang,3853,373145.7956,2381831.735,9.308107,0.3074,0.60934585,0.53101313,0.7027215,-0.60934585,1.4153237
15,baigurang,3855,373147.7217,2381855.633,11.024315,0.32979998,0.64938605,0.571751,0.9607657,-0.64938605,1.4830563
16,baigurang,3857,373128.8821,2381863.802,8.828729,0.2834,0.59680235,0.4956492,0.7379296,-0.59680235,1.3933172
17,baigurang,3858,373100.9757,2381895.725,10.115501,0.2999,0.60424197,0.5266042,0.8956778,-0.60424197,1.4243131
18,baigurang,3859,373107.9078,2381911.758,12.392524,0.3657,0.6602671,0.6245881,1.1766711,-0.6602671,1.5109301
19,baigurang,3860,373117.8826,2381931.115,9.693122,0.3286,0.6183745,0.5607057,0.7222286,-0.6183745,1.4313383
20,baigurang,3861,373215.5344,2381846.673,6.816024,0.196,0.47008,0.35491726,0.43626922,-0.47008,1.2141954
21,baigurang,3862,373213.0539,2381836.156,10.888178,0.30949998,0.6337489,0.5442453,0.81534785,-0.6337489,1.4655144
22,baigurang,3863,373222.9758,2381841.216,10.536741,0.2985,0.6294467,0.52719784,0.9723498,-0.6294467,1.4560875
23,baigurang,3864,373221.977,2381831.169,9.41853,0.2635,0.5701731,0.47121525,0.8482838,-0.5701731,1.3782074
