,CLASS_NAME,num,x,y,B1,B3,B4,B5,B6,B7,B8,RVI,GNDVI,MTVI2,MSAVI,MCARI,NDVIRE,NDWI,CMRI
0,baigurang,253,374967.428,2381818.592,0.076861627,0.072773978,0.057488117,0.028070293,0.163983762,0.226075292,0.212766171,8.053899,0.512972,0.4248739,0.36389393,0.68742484,0.7076833,-0.512972,1.2920727
1,baigurang,257,375119.5196,2381822.049,0.076861627,0.07206431,0.054468926,0.024878891,0.222080052,0.371464461,0.421386451,14.930909,0.6750411,0.68327606,0.61401695,1.4924839,0.798518,-0.6750411,1.549499
2,baigurang,3836,373366.3504,2382041.285,0.075300001,0.071400002,0.054499999,0.0265,0.213100001,0.392699987,0.403499991,14.818868,0.69230765,0.697714,0.6387055,1.2726493,0.778798,-0.69230765,1.5658765
3,baigurang,3837,373370.2795,2382031.086,0.079999998,0.072800003,0.058699999,0.028899999,0.189700007,0.346599996,0.324299991,11.99308,0.65283734,0.6164958,0.56141317,0.90202695,0.73559016,-0.65283734,1.4989092
4,baigurang,3838,373362.3949,2382023.241,0.077699997,0.0814,0.066399999,0.036200002,0.188899994,0.306400001,0.301499993,8.464088,0.58019596,0.5214034,0.47491708,0.68463194,0.6783652,-0.58019596,1.3688709
5,baigurang,3840,373349.3773,2382009.221,0.079999998,0.075000003,0.064599998,0.032099999,0.172299996,0.251700014,0.278699994,7.841122,0.54086316,0.44742015,0.39694256,0.6480841,0.6859099,-0.54086316,1.3146476
6,baigurang,3841,373339.2455,2382013.296,0.075300001,0.077100001,0.059799999,0.028100001,0.2183,0.354699999,0.371100008,12.622775,0.6428902,0.64234835,0.57664955,1.2582159,0.7719156,-0.6428902,1.4960772
7,baigurang,3842,373331.7445,2382005.565,0.079999998,0.078599997,0.067599997,0.0337,0.229699999,0.342200011,0.399899989,10.154303,0.6264259,0.5863841,0.53838944,1.1299604,0.7441154,-0.6264259,1.447123
8,baigurang,3844,373310.9059,2382009.308,0.078500003,0.072800003,0.054499999,0.0233,0.217600003,0.386799991,0.4023,16.600859,0.68320274,0.71979624,0.6430497,1.5441195,0.80655867,-0.68320274,1.569572
9,baigurang,3846,373303.7264,2381964.32,0.081600003,0.092100002,0.074699998,0.042599998,0.244000003,0.397000015,0.379500002,9.319249,0.62338996,0.6278399,0.58746976,0.9795513,0.7027216,-0.62338996,1.4295774
10,baigurang,3847,373289.7339,2381948.231,0.079300001,0.075000003,0.055100001,0.035300002,0.193399996,0.3671,0.343499988,10.399433,0.6607103,0.60481906,0.57001007,0.73645395,0.6912986,-0.6607103,1.4852629
11,baigurang,3849,373230.8177,2381924.191,0.0832,0.0814,0.060400002,0.031300001,0.227400005,0.361999989,0.339899987,11.565495,0.6328371,0.6366323,0.5762658,1.2125578,0.7580208,-0.6328371,1.473671
