,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,advanced1,advanced5,advanced10,higher3,higher5,higher6,higher7,higher8,simple2,simple4,simple5,simple6,simple7
0,baigurang,253,374967.428,2381818.592,0.079676308,0.072773978,0.057488117,0.028070293,0.163983762,0.226075292,49.473682,153.60664,0.9794452,17.415585,0.000422775,2500.2402,0.000389971,2216.3096,7.511809,0.2976659,26.925207,1456.855,65911.34
1,baigurang,257,375119.5196,2381822.049,0.075985663,0.07206431,0.054468926,0.024878891,0.222080052,0.371464461,43.75485,65.490906,0.9840016,28.15625,0.00051011,2038.7156,0.000462759,1861.7689,7.023199,0.30693462,24.213297,854.1031,23196.465
2,baigurang,3836,373366.3504,2382041.285,0.079700001,0.071400002,0.054499999,0.0265,0.213100001,0.392699987,46.180054,204.84538,0.9804675,18.125381,0.000492249,2228.471,0.000459107,2039.108,7.7152667,0.25409156,41.240997,2300.724,108904.29
3,baigurang,3837,373370.2795,2382031.086,0.0788,0.072800003,0.058699999,0.028899999,0.189700007,0.346599996,48.740997,255.43527,0.9731201,17.597315,0.000456561,2389.906,0.000407837,1984.7336,7.1890206,0.33232254,43.526318,2636.217,127615.34
4,baigurang,3838,373362.3949,2382023.241,0.079700001,0.0814,0.066399999,0.036200002,0.188899994,0.306400001,46.973682,166.29916,0.98394847,22.576923,0.00047216,2247.3975,0.000428217,1950.8007,7.252149,0.29943037,41.65928,2853.967,105012.83
5,baigurang,3840,373349.3773,2382009.221,0.0788,0.075000003,0.064599998,0.032099999,0.172299996,0.251700014,46.896122,96.19229,0.9889201,22.203592,0.000455922,2294.5388,0.000426542,2174.4333,7.6200356,0.23012869,35.781162,1040.6635,37825.137
6,baigurang,3841,373339.2455,2382013.296,0.079700001,0.077100001,0.059799999,0.028100001,0.2183,0.354699999,44.38781,55.969048,0.98875606,24.4,0.000501387,2066.394,0.000468335,1935.0161,7.4299808,0.23197685,22.376732,334.13727,9540.176
7,baigurang,3842,373331.7445,2382005.565,0.079700001,0.078599997,0.067599997,0.0337,0.229699999,0.342200011,44.916897,74.79786,0.9892512,23.156626,0.000491304,2126.7168,0.000459569,2003.3232,7.562058,0.23577364,29.916897,599.23895,19585.756
8,baigurang,3844,373310.9059,2382009.308,0.074199997,0.072800003,0.054499999,0.0233,0.217600003,0.386799991,41.96399,20.388165,0.98790425,34.537537,0.000548801,1857.1051,0.000518006,1755.0615,6.6976075,0.28168812,16.271467,99.236595,1850.8075
9,baigurang,3846,373303.7264,2381964.32,0.080600001,0.092100002,0.074699998,0.042599998,0.244000003,0.397000015,47.78532,251.05388,0.97240853,23.09396,0.000477229,2240.6174,0.000432912,1919.769,6.833033,0.33172283,28.124653,3870.0933,150644.5
10,baigurang,3847,373289.7339,2381948.231,0.0788,0.075000003,0.055100001,0.035300002,0.193399996,0.3671,48.92521,222.66461,0.975403,19.812902,0.0004501,2382.4258,0.000417091,2100.4414,7.1458693,0.30607563,33.545708,2656.3237,112594.39
11,baigurang,3849,373230.8177,2381924.191,0.082400002,0.0814,0.060400002,0.031300001,0.227400005,0.361999989,44.48061,62.402927,0.98395866,32.40836,0.000495424,2080.087,0.000439995,1858.2708,6.647376,0.34395993,21.886427,1148.0525,38881.13
12,baigurang,3851,373207.7962,2381883.71,0.086099997,0.085699998,0.0616,0.036200002,0.200200006,0.331999987,47.465374,191.06723,0.9809107,22.302326,0.000465981,2292.7974,0.000412267,1954.0419,7.1771665,0.3088532,38.03878,2985.2607,107842.13
