,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,EVI2,MTVI2,MCARI,NDVIRE,NDWI,CMRI,advanced1,advanced2,advanced5,advanced6,advanced7,advanced10,higher3,higher5,higher6,higher7,higher8,higher9,simple2,simple4,simple6,simple7
0,baigurang,253,374967.428,2381818.592,8.053899,0.19800499,0.512972,0.38270885,0.4248739,0.68742484,0.7076833,-0.512972,1.2920727,49.473682,45.132965,153.60664,5.1212254,2.3580415,0.9794452,17.415585,0.000422775,2500.2402,0.000389971,2216.3096,0.000794728,7.511809,0.2976659,1456.855,65911.34
1,baigurang,257,375119.5196,2381822.049,14.930909,0.34658557,0.6750411,0.60542184,0.68327606,1.4924839,0.798518,-0.6750411,1.549499,43.75485,22.42605,65.490906,4.549542,2.2498546,0.9840016,28.15625,0.00051011,2038.7156,0.000462759,1861.7689,0.000751974,7.023199,0.30693462,854.1031,23196.465
2,baigurang,3836,373366.3504,2382041.285,14.818868,0.3662,0.69230765,0.6286479,0.697714,1.2726493,0.778798,-0.69230765,1.5658765,46.180054,61.521595,204.84538,5.2383585,2.4317653,0.9804675,18.125381,0.000492249,2228.471,0.000459107,2039.108,0.000643619,7.7152667,0.25409156,2300.724,108904.29
3,baigurang,3837,373370.2795,2382031.086,11.99308,0.3177,0.65283734,0.56092685,0.6164958,0.90202695,0.73559016,-0.65283734,1.4989092,48.740997,74.740395,255.43527,5.081929,2.4054928,0.9731201,17.597315,0.000456561,2389.906,0.000407837,1984.7336,0.000827789,7.1890206,0.33232254,2636.217,127615.34
4,baigurang,3838,373362.3949,2382023.241,8.464088,0.2702,0.58019596,0.4848272,0.5214034,0.68463194,0.6783652,-0.58019596,1.3688709,46.973682,51.989613,166.29916,4.9185286,2.4072418,0.98394847,22.576923,0.00047216,2247.3975,0.000428217,1950.8007,0.000708271,7.252149,0.29943037,2853.967,105012.83
5,baigurang,3840,373349.3773,2382009.221,7.841122,0.21960002,0.54086316,0.4131734,0.44742015,0.6480841,0.6859099,-0.54086316,1.3146476,46.896122,32.993366,96.19229,4.9590225,2.4277635,0.9889201,22.203592,0.000455922,2294.5388,0.000426542,2174.4333,0.000592534,7.6200356,0.23012869,1040.6635,37825.137
6,baigurang,3841,373339.2455,2382013.296,12.622775,0.3266,0.6428902,0.5741347,0.64234835,1.2582159,0.7719156,-0.6428902,1.4960772,44.38781,19.586445,55.969048,4.7290907,2.273273,0.98875606,24.4,0.000501387,2066.394,0.000468335,1935.0161,0.000685961,7.4299808,0.23197685,334.13727,9540.176
7,baigurang,3842,373331.7445,2382005.565,10.154303,0.30850002,0.6264259,0.54195833,0.5863841,1.1299604,0.7441154,-0.6264259,1.447123,44.916897,26.17869,74.79786,4.8538556,2.3618562,0.9892512,23.156626,0.000491304,2126.7168,0.000459569,2003.3232,0.000655906,7.562058,0.23577364,599.23895,19585.756
8,baigurang,3844,373310.9059,2382009.308,16.600859,0.3635,0.68320274,0.6298866,0.71979624,1.5441195,0.80655867,-0.68320274,1.569572,41.96399,9.164908,20.388165,4.0090194,2.1784678,0.98790425,34.537537,0.000548801,1857.1051,0.000518006,1755.0615,0.00076328,6.6976075,0.28168812,99.236595,1850.8075
9,baigurang,3846,373303.7264,2381964.32,9.319249,0.3544,0.62338996,0.5909661,0.6278399,0.9795513,0.7027216,-0.62338996,1.4295774,47.78532,69.79463,251.05388,4.731851,2.3212914,0.97240853,23.09396,0.000477229,2240.6174,0.000432912,1919.769,0.000952016,6.833033,0.33172283,3870.0933,150644.5
