,CLASS_NAME,num,x,y,B1,B2,B4,B7,B10,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B27,B30,B32
0,baigurang,253,374967.428,2381818.592,1453,1328,1250,1458,1714,842,777,755,1049,1395,1755,2027,2204,2375,2439,2597,2391,1728,3539
1,baigurang,257,375119.5196,2381822.049,877,915,914,1162,1148,673,636,652,1104,1520,3193,3347,3406,3630,3703,3763,3336,5561,6401
2,baigurang,3836,373366.3504,2382041.285,862,988,765,1042,1032,644,566,601,955,1371,2390,2550,2559,2767,2929,3044,2432,3217,3774
3,baigurang,3837,373370.2795,2382031.086,875,950,769,995,1015,596,553,560,969,1380,2380,2593,2602,2733,2846,2832,2336,3013,4066
4,baigurang,3838,373362.3949,2382023.241,884,908,803,1011,1004,580,531,581,964,1414,2323,2480,2575,2589,2740,2766,2288,3534,3888
5,baigurang,3840,373349.3773,2382009.221,798,855,747,1030,993,588,533,556,963,1399,2363,2557,2635,2674,2852,2868,2379,3396,3552
6,baigurang,3841,373339.2455,2382013.296,796,858,729,1029,945,545,512,543,948,1448,2488,2687,2659,2774,2990,2984,2460,3369,3622
7,baigurang,3842,373331.7445,2382005.565,867,884,715,1017,937,537,513,553,959,1455,2683,2789,2727,2875,3103,3057,2510,3488,3885
8,baigurang,3844,373310.9059,2382009.308,876,844,658,1026,938,501,473,510,984,1417,2734,2948,2928,3094,3246,3281,2702,3796,4072
9,baigurang,3846,373303.7264,2381964.32,793,893,708,998,929,572,517,534,942,1402,2521,2593,2613,2709,2856,2859,2340,3340,3898
10,baigurang,3847,373289.7339,2381948.231,849,952,641,990,943,575,440,521,990,1365,2253,2479,2531,2617,2745,2634,2284,3456,3888
11,baigurang,3849,373230.8177,2381924.191,713,833,650,976,865,508,446,481,870,1380,2618,2698,2830,2867,3068,3208,2541,3605,4362
12,baigurang,3851,373207.7962,2381883.71,833,940,712,1006,911,510,547,524,980,1489,2614,2633,2568,2823,2960,3034,2448,3886,4715
13,baigurang,3852,373168.7595,2381844.826,851,901,763,1040,975,596,524,523,1010,1462,2607,2844,2776,2884,2953,2913,2392,3545,3743
14,baigurang,3853,373145.7956,2381831.735,865,919,744,1042,990,617,564,564,965,1407,2348,2501,2452,2490,2619,2496,1973,1362,3435
15,baigurang,3855,373147.7217,2381855.633,910,951,773,1051,994,590,523,558,977,1370,2654,2744,2743,3000,3094,3276,2692,3228,3869
16,baigurang,3857,373128.8821,2381863.802,933,894,799,1036,1005,641,573,573,908,1387,2313,2448,2573,2618,2810,2917,2575,3119,3338
17,baigurang,3858,373100.9757,2381895.725,955,810,712,1081,977,587,550,561,970,1428,2609,2807,2777,2984,3037,3152,2617,3130,3873
18,baigurang,3859,373107.9078,2381911.758,934,900,725,1072,981,600,522,531,985,1502,2808,2937,2963,3075,3153,3334,2831,3921,4136
19,baigurang,3860,373117.8826,2381931.115,893,896,678,1064,982,565,517,570,980,1468,2817,2896,2848,3086,3202,3354,2937,4322,4331
20,baigurang,3861,373215.5344,2381846.673,897,919,755,1073,984,683,567,622,938,1272,1994,2257,2374,2546,2584,2883,2756,4250,3703
